rule_id,pattern,evidence,n_covered,rule_support_count,rule_support_ratio,target_coverage,confidence,lift,growth_rate,growth_rate_status,covered_trajectory_ids
R00001,"When Duration is unusual relative to Extent and Kinematic is unusual relative to SpatioTemporal Dynamics, Sampling Gaps is also unusual relative to Extent.",60 of 68 matching trajectories (88.2%) also showed this outcome; this is 8.0× its overall rate.,68,60,0.01284796573875803,0.11583011583011583,0.8823529411764706,7.954803543038836,60.11583011583012,finite,120;206;226;263;268;295;297;307;312;341;346;380;547;634;944;947;991;1078;1079;1083;1141;1598;1687;1694;1697;1703;1752;1757;1789;1795;1875;1883;1976;1978;1979;1981;1986;2002;2004;2065;2182;2482;2541;2555;2693;2756;2862;2877;3008;3071;3253;3476;3656;3658;3857;3970;4035;4101;4155;4164;4382;4385;4431;4467;4504;4538;4561;4645
R00002,"When Acceleration is unusual relative to Localization and Duration is unusual relative to Indentation, Sampling Gaps is also unusual relative to Indentation.",57 of 65 matching trajectories (87.7%) also showed this outcome; this is 8.2× its overall rate.,65,57,0.012205567451820129,0.11422845691382766,0.8769230769230769,8.206875289039617,59.555861723446895,finite,193;200;233;241;242;268;272;294;316;836;963;996;1066;1091;1193;1489;1566;1605;1611;1673;1710;1789;1812;1871;1883;1895;1907;1979;1981;2027;2070;2168;2174;2192;2254;2286;2478;2546;2569;2581;2626;2703;2727;2842;2877;3090;3231;3253;3292;3481;3658;3803;3845;3851;3861;3926;3943;4137;4391;4392;4453;4479;4527;4580;4604
R00003,"When Displacement is unusual relative to Curvature and Duration is unusual relative to Extent, Sampling Gaps is also unusual relative to Extent.",53 of 61 matching trajectories (86.9%) also showed this outcome; this is 7.8× its overall rate.,61,53,0.011349036402569594,0.10231660231660232,0.8688524590163934,7.83309070194316,53.102316602316606,finite,36;156;216;226;253;286;291;292;319;329;344;538;727;935;1066;1067;1069;1079;1613;1678;1680;1865;1901;1955;1986;1989;1994;1997;2030;2033;2110;2293;2484;2663;2845;2877;3010;3141;3286;3287;3293;3476;3658;3774;3808;3857;3865;3870;3885;4136;4157;4164;4230;4235;4243;4258;4332;4356;4504;4527;4656
R00004,"When Duration is unusual relative to Localization and SpatioTemporal Dynamics is unusual relative to Spatial Context, Sampling Gaps is also unusual relative to Localization.",52 of 60 matching trajectories (86.7%) also showed this outcome; this is 8.0× its overall rate.,60,52,0.01113490364025696,0.10317460317460317,0.8666666666666667,8.030423280423282,53.7281746031746,finite,11;26;101;166;220;274;296;314;339;345;350;352;386;633;772;963;1310;1609;1698;1780;1906;1907;1911;2070;2072;2080;2278;2481;2515;2546;2569;2571;2575;2624;2626;2628;2834;2910;3139;3155;3323;3339;3405;3492;3655;3774;3856;3943;4199;4204;4391;4405;4492;4497;4498;4509;4527;4558;4580;4597
R00005,"When Acceleration is unusual relative to Indentation and Duration is unusual relative to Extent, Sampling Gaps is also unusual relative to Extent.",57 of 66 matching trajectories (86.4%) also showed this outcome; this is 7.8× its overall rate.,66,57,0.012205567451820129,0.11003861003861004,0.8636363636363636,7.786065286065286,50.764478764478774,finite,173;193;209;265;268;272;316;341;642;652;947;996;1066;1150;1366;1598;1680;1789;1795;1883;1979;1981;1985;2002;2169;2171;2192;2201;2253;2341;2368;2504;2569;2581;2626;2647;2720;2727;2806;2877;2899;3235;3293;3658;3755;3825;3857;3943;3967;3970;4035;4103;4104;4155;4164;4165;4208;4375;4382;4391;4527;4561;4574;4580;4620;4666
R00006,"When Acceleration is unusual relative to Extent and Duration is unusual relative to Indentation, Sampling Gaps is also unusual relative to Extent.",55 of 64 matching trajectories (85.9%) also showed this outcome; this is 7.7× its overall rate.,64,55,0.011777301927194861,0.10617760617760617,0.859375,7.7476472007722,48.983268983268985,finite,173;209;265;268;272;316;642;652;989;996;1066;1150;1232;1366;1489;1598;1680;1789;1883;1911;1979;1981;1986;2002;2169;2192;2201;2253;2341;2368;2504;2546;2581;2601;2626;2647;2714;2727;2877;2880;2899;3141;3235;3293;3340;3658;3755;3803;3808;3845;3943;3967;3970;4035;4103;4104;4164;4375;4391;4444;4527;4561;4620;4652
R00007,"When Acceleration is unusual relative to Localization and Duration is unusual relative to Sequence Complexity, Sampling Gaps is also unusual relative to Localization.",54 of 63 matching trajectories (85.7%) also showed this outcome; this is 7.9× its overall rate.,63,54,0.011563169164882228,0.10714285714285714,0.8571428571428571,7.942176870748299,49.595238095238095,finite,11;306;344;422;928;1066;1067;1091;1315;1566;1611;1620;1673;1691;1694;1710;1789;1796;1812;1895;1979;2027;2050;2057;2059;2060;2072;2176;2192;2277;2286;2385;2470;2508;2546;2567;2569;2571;2624;2628;2633;2877;2910;3028;3090;3139;3492;3503;3598;3650;3658;3845;3858;3861;3865;4167;4256;4468;4497;4556;4580;4619;4654
R00008,"When Acceleration is unusual relative to Extent and Duration is unusual relative to Extent, Sampling Gaps is also unusual relative to Extent.",153 of 179 matching trajectories (85.5%) also showed this outcome; this is 7.7× its overall rate.,179,153,0.032762312633832974,0.2953667953667954,0.8547486033519553,7.705938180798516,47.16780516780517,finite,27;120;173;206;209;213;263;264;265;268;269;272;295;307;312;314;316;341;344;346;363;368;500;547;642;652;699;707;766;967;989;991;996;1066;1073;1076;1141;1150;1224;1232;1311;1315;1322;1366;1443;1489;1576;1598;1658;1674;1678;1679;1680;1687;1691;1693;1694;1695;1697;1698;1703;1711;1780;1789;1791;1795;1875;1883;1911;1972;1976;1979;1981;1985;1986;1989;2002;2034;2054;2065;2169;2182;2192;2196;2201;2238;2253;2302;2341;2368;2504;2510;2529;2534;2546;2555;2565;2571;2581;2601;2624;2626;2630;2647;2662;2714;2727;2756;2806;2845;2862;2877;2880;2899;2900;2918;3008;3071;3139;3141;3156;3235;3269;3286;3287;3288;3293;3340;3394;3437;3492;3500;3624;3656;3658;3659;3755;3803;3806;3808;3817;3823;3825;3845;3857;3870;3943;3955;3962;3967;3970;3996;4035;4101;4103;4104;4105;4157;4162;4164;4206;4256;4258;4291;4375;4391;4427;4443;4467;4509;4527;4538;4556;4561;4597;4620;4645;4652;4666
R00009,"When Duration is unusual relative to Path Evolution and Speed is unusual relative to Localization, Sampling Gaps is also unusual relative to Path Evolution.",52 of 61 matching trajectories (85.2%) also showed this outcome; this is 8.1× its overall rate.,61,52,0.01113490364025696,0.10590631364562118,0.8524590163934426,8.107909585656571,49.17583163611677,finite,101;120;189;197;217;226;233;236;269;272;280;294;326;370;675;715;828;837;1067;1069;1071;1079;1186;1218;1443;1566;1594;1605;1611;1614;1618;1710;1874;1875;1883;2037;2139;2196;2257;2284;2321;2370;2507;2703;2780;2868;3183;3231;3659;3803;3856;3925;4100;4139;4211;4281;4398;4450;4468;4554;4648
