trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration_Dynamics,count_uncommon_Curvature_Geometry,count_uncommon_Spatial_Reach_and_Route,count_uncommon_Speed_Dynamics,count_uncommon_Temporal_Sequential_Context,count_uncommon_Turning_Dynamics
123,15,1,14,0,14,0.9333333333333333,0.9333333333333333,0.0,,0,0.0,0.35335933502142136,0,0,0,0,0,0
124,15,6,7,2,9,0.6,0.4666666666666667,0.13333333333333333,Turning_Dynamics,1,0.5,1.562806631693174,0,0,0,0,1,1
125,15,6,2,7,9,0.6,0.13333333333333333,0.4666666666666667,Turning_Dynamics,4,0.5714285714285714,1.8892464285091581,0,3,0,0,0,4
126,15,6,9,0,9,0.6,0.6,0.0,,0,0.0,0.9709505944546686,0,0,0,0,0,0
127,15,0,11,4,15,1.0,0.7333333333333333,0.26666666666666666,Turning_Dynamics,1,0.25,1.3699740752745009,0,1,1,1,0,1
128,15,1,8,6,14,0.9333333333333333,0.5333333333333333,0.4,Curvature_Geometry,2,0.3333333333333333,2.040223928941852,2,2,0,0,1,1
129,15,3,8,4,12,0.8,0.5333333333333333,0.26666666666666666,Turning_Dynamics,3,0.75,1.6729055953200562,0,0,1,0,0,3
130,15,3,4,8,12,0.8,0.26666666666666666,0.5333333333333333,Curvature_Geometry,3,0.375,2.2892464285091583,3,3,0,0,2,0
131,15,3,6,6,12,0.8,0.4,0.4,Spatial_Reach_and_Route,3,0.5,2.1055872616982603,0,0,3,0,1,2
132,15,10,4,1,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,Turning_Dynamics,1,1.0,1.158938532350277,0,0,0,0,0,1
133,15,6,6,3,9,0.6,0.4,0.2,Temporal_Sequential_Context,2,0.6666666666666666,1.7055872616982601,0,0,0,0,2,1
134,15,3,11,1,12,0.8,0.7333333333333333,0.06666666666666667,Curvature_Geometry,1,1.0,1.0529815751302694,0,1,0,0,0,0
135,15,0,14,1,15,1.0,0.9333333333333333,0.06666666666666667,Curvature_Geometry,1,1.0,0.35335933502142136,0,1,0,0,0,0
136,15,10,4,1,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,Curvature_Geometry,1,1.0,1.158938532350277,0,1,0,0,0,0
137,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Acceleration_Dynamics,4,0.8,1.8062389286533893,4,0,1,0,0,0
138,15,3,9,3,12,0.8,0.6,0.2,Turning_Dynamics,1,0.3333333333333333,1.6879430945989,0,0,0,1,1,1
139,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Acceleration_Dynamics,3,0.6,1.8892464285091581,3,0,0,0,0,2
140,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Curvature_Geometry,2,0.5,1.4256051990169438,2,2,0,0,0,0
141,15,1,9,5,14,0.9333333333333333,0.6,0.3333333333333333,Turning_Dynamics,2,0.4,1.871602261409798,1,0,0,1,1,2
142,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Spatial_Reach_and_Route,2,0.5,1.4256051990169438,0,2,2,0,0,0
143,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
144,15,1,11,3,14,0.9333333333333333,0.7333333333333333,0.2,Spatial_Reach_and_Route,2,0.6666666666666666,1.2366407419411674,0,1,2,0,0,0
145,15,0,10,5,15,1.0,0.6666666666666666,0.3333333333333333,Turning_Dynamics,1,0.2,1.6922718656836107,1,0,1,1,1,1
146,15,3,9,3,12,0.8,0.6,0.2,Turning_Dynamics,1,0.3333333333333333,1.6879430945989,0,0,1,1,0,1
147,15,3,6,6,12,0.8,0.4,0.4,Temporal_Sequential_Context,3,0.5,1.9219280948873623,0,3,0,0,3,0
148,15,1,12,2,14,0.9333333333333333,0.8,0.13333333333333333,Turning_Dynamics,1,0.5,1.0389205950315936,1,0,0,0,0,1
149,15,3,8,4,12,0.8,0.5333333333333333,0.26666666666666666,Curvature_Geometry,2,0.5,1.856564762130954,0,2,1,0,0,1
150,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
151,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Turning_Dynamics,4,0.8,1.8062389286533895,0,0,1,0,0,4
152,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Curvature_Geometry,3,0.6,1.8892464285091581,0,3,0,0,0,2
153,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
154,15,10,0,5,5,0.3333333333333333,0.0,0.3333333333333333,Curvature_Geometry,5,1.0,0.9182958340544896,0,5,0,0,0,0
155,15,6,5,4,9,0.6,0.3333333333333333,0.26666666666666666,Temporal_Sequential_Context,3,0.75,1.781937063546704,0,0,0,1,3,0
156,15,6,3,6,9,0.6,0.2,0.4,Spatial_Reach_and_Route,3,0.5,1.9219280948873623,0,3,3,0,0,0
157,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Turning_Dynamics,1,0.25,1.6922718656836107,1,0,0,1,1,1
158,15,3,9,3,12,0.8,0.6,0.2,Temporal_Sequential_Context,2,0.6666666666666666,1.5546097612655665,0,0,1,0,2,0
159,15,10,0,5,5,0.3333333333333333,0.0,0.3333333333333333,Turning_Dynamics,5,1.0,0.9182958340544896,0,0,0,0,0,5
160,15,6,7,2,9,0.6,0.4666666666666667,0.13333333333333333,Speed_Dynamics,1,0.5,1.5628066316931741,1,0,0,1,0,0
161,15,0,10,5,15,1.0,0.6666666666666666,0.3333333333333333,Turning_Dynamics,1,0.2,1.6922718656836107,1,0,1,1,1,1
162,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Turning_Dynamics,2,0.5,1.4256051990169438,0,2,0,0,0,2
163,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
164,15,6,7,2,9,0.6,0.4666666666666667,0.13333333333333333,Curvature_Geometry,2,1.0,1.4294732983598406,0,2,0,0,0,0
165,15,1,14,0,14,0.9333333333333333,0.9333333333333333,0.0,,0,0.0,0.35335933502142136,0,0,0,0,0,0
166,15,10,5,0,5,0.3333333333333333,0.3333333333333333,0.0,,0,0.0,0.9182958340544896,0,0,0,0,0,0
167,15,0,13,2,15,1.0,0.8666666666666667,0.13333333333333333,Turning_Dynamics,1,0.5,0.6998428398862386,0,0,0,1,0,1
168,15,3,7,5,12,0.8,0.4666666666666667,0.3333333333333333,Temporal_Sequential_Context,3,0.6,1.9628066316931743,0,0,1,1,3,0
169,15,0,10,5,15,1.0,0.6666666666666666,0.3333333333333333,Turning_Dynamics,1,0.2,1.6922718656836104,0,1,1,1,1,1
170,15,0,13,2,15,1.0,0.8666666666666667,0.13333333333333333,Spatial_Reach_and_Route,1,0.5,0.6998428398862386,0,1,1,0,0,0
171,15,10,2,3,5,0.3333333333333333,0.13333333333333333,0.2,Curvature_Geometry,3,1.0,1.2419460322060458,0,3,0,0,0,0
