rule_id,antecedent_items,consequent_items,antecedent_length,consequent_length,itemset_length,support_count,support_ratio,antecedent_support_count,antecedent_support_ratio,consequent_support_count,consequent_support_ratio,confidence,lift,leverage
RAW-FP-R00001,duration_total_seconds=high,sampling_gap_mean_seconds=high,1,1,2,1511,0.3235546038543897,1511,0.3235546038543897,1511,0.3235546038543897,1.0,3.0906684315023165,0.21886702217901866
RAW-FP-R00002,sampling_gap_mean_seconds=high,duration_total_seconds=high,1,1,2,1511,0.3235546038543897,1511,0.3235546038543897,1511,0.3235546038543897,1.0,3.0906684315023165,0.21886702217901866
RAW-FP-R00003,acceleration_meanse=medium,acceleration_sd=medium,1,1,2,1556,0.33319057815845826,1556,0.33319057815845826,1556,0.33319057815845826,1.0,3.0012853470437015,0.2221746167848906
RAW-FP-R00004,acceleration_sd=medium,acceleration_meanse=medium,1,1,2,1556,0.33319057815845826,1556,0.33319057815845826,1556,0.33319057815845826,1.0,3.0012853470437015,0.2221746167848906
RAW-FP-R00005,angles_meanse=medium,angles_sd=medium,1,1,2,1556,0.33319057815845826,1556,0.33319057815845826,1556,0.33319057815845826,1.0,3.0012853470437015,0.2221746167848906
RAW-FP-R00006,angles_sd=medium,angles_meanse=medium,1,1,2,1556,0.33319057815845826,1556,0.33319057815845826,1556,0.33319057815845826,1.0,3.0012853470437015,0.2221746167848906
RAW-FP-R00007,bbox_height_m=medium,bbox_lat_span_deg=medium,1,1,2,1556,0.33319057815845826,1556,0.33319057815845826,1556,0.33319057815845826,1.0,3.0012853470437015,0.2221746167848906
RAW-FP-R00008,bbox_lat_span_deg=medium,bbox_height_m=medium,1,1,2,1556,0.33319057815845826,1556,0.33319057815845826,1556,0.33319057815845826,1.0,3.0012853470437015,0.2221746167848906
RAW-FP-R00009,speed_meanse=medium,speed_sd=medium,1,1,2,1556,0.33319057815845826,1556,0.33319057815845826,1556,0.33319057815845826,1.0,3.0012853470437015,0.2221746167848906
RAW-FP-R00010,speed_sd=medium,speed_meanse=medium,1,1,2,1556,0.33319057815845826,1556,0.33319057815845826,1556,0.33319057815845826,1.0,3.0012853470437015,0.2221746167848906
RAW-FP-R00011,acceleration_meanse=high,acceleration_sd=high,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00012,acceleration_meanse=low,acceleration_sd=low,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00013,acceleration_sd=high,acceleration_meanse=high,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00014,acceleration_sd=low,acceleration_meanse=low,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00015,angles_meanse=high,angles_sd=high,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00016,angles_meanse=low,angles_sd=low,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00017,angles_sd=high,angles_meanse=high,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00018,angles_sd=low,angles_meanse=low,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00019,bbox_height_m=high,bbox_lat_span_deg=high,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00020,bbox_height_m=low,bbox_lat_span_deg=low,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00021,bbox_lat_span_deg=high,bbox_height_m=high,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00022,bbox_lat_span_deg=low,bbox_height_m=low,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00023,speed_meanse=high,speed_sd=high,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00024,speed_meanse=low,speed_sd=low,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
RAW-FP-R00025,speed_sd=high,speed_meanse=high,1,1,2,1557,0.3334047109207709,1557,0.3334047109207709,1557,0.3334047109207709,1.0,2.9993577392421322,0.22224600965660807
