meta_pattern_id,contrast_group,contrast_group_label,selection_reason,node_id,feature,n_covered,n_contrast,covered_mean_value,contrast_mean_value,covered_median_value,contrast_median_value,covered_minus_contrast_mean_value,covered_minus_contrast_median_value,covered_mean_robust_standardized_value,contrast_mean_robust_standardized_value,covered_median_robust_standardized_value,contrast_median_robust_standardized_value,covered_minus_contrast_mean_robust_standardized_value,absolute_covered_minus_contrast_mean_robust_standardized_value,covered_minus_contrast_median_robust_standardized_value,absolute_covered_minus_contrast_median_robust_standardized_value,median_difference_direction
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_quant_min,123,123,2.11331553431413,1.5760211069231558,2.0229661101928573,1.0295826541162991,0.5372944273909741,0.9933834560765582,0.648309800462656,0.2922999719277652,0.5884445173890339,-0.06976866301655475,0.35600982853489077,0.35600982853489077,0.6582131804055886,0.6582131804055886,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_range,123,123,0.0009642303897612017,0.0007280962633252931,0.0008204627069367588,0.0005927531088843173,0.00023613412643590855,0.00022770959805244154,0.6889577739121258,0.1413131065835912,0.3555303019013989,-0.17257611352936988,0.5476446673285346,0.5476446673285346,0.5281064154307687,0.5281064154307687,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_quant_25,123,123,4.082445725946605,3.3953390905347924,4.0461202935095635,3.072358357863224,0.6871066354118125,0.9737619356463396,0.44033583579628205,0.10949951931446672,0.4228454323527506,-0.04601310475969529,0.33083631648181533,0.33083631648181533,0.4688585371124459,0.4688585371124459,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_quant_10,123,123,3.2525391128367045,2.6338967495837546,3.038229433382137,2.2514831670302984,0.6186423632529499,0.7867462663518388,0.5133856956925913,0.19531973784480788,0.4032014963543099,-0.001292634106729921,0.3180659578477834,0.3180659578477834,0.4044941304610398,0.4044941304610398,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_meanse,123,123,1.9918170234759257e-05,1.6273273073530884e-05,1.673207405448001e-05,1.4089360570122078e-05,3.6448971612283726e-06,2.6427134843579336e-06,0.6546799203366374,0.13942820432550515,0.20428545057548106,-0.16929509162074594,0.5152517160111322,0.5152517160111322,0.373580542196227,0.373580542196227,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_sd,123,123,0.00014771710396073554,0.00012068582314801436,0.00012408838228880725,0.00010448949454428464,2.7031280812721172e-05,1.9598887744522612e-05,0.6546799203366372,0.13942820432550515,0.20428545057548103,-0.16929509162074577,0.5152517160111321,0.5152517160111321,0.37358054219622683,0.37358054219622683,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_quant_05,123,123,2.8476190021777645,2.255662590538222,2.686788784236085,1.9610281934374048,0.5919564116395426,0.7257605907986802,0.44654185800794727,0.14493670035556777,0.3645979474703179,-0.005181200287286916,0.3016051576523795,0.3016051576523795,0.3697791477576048,0.3697791477576048,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_kurt,123,123,0.49759277563366067,0.0036999183302942364,0.11124355719414813,-0.2919053124698956,0.4938928573033664,0.40314886966404373,0.8023075013922425,0.36870200803150915,0.46311826025669,0.10918002862697726,0.43360549336073334,0.43360549336073334,0.3539382316297127,0.3539382316297127,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_quant_median,123,123,5.249921926429537,4.616190965617839,5.147913270581459,4.238484887215923,0.6337309608116986,0.9094283833655368,0.3412524661339369,0.09665491275989206,0.30188076238845973,-0.04912616530718485,0.24459755337404482,0.24459755337404482,0.35100692769564457,0.35100692769564457,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_min,123,123,-0.0003335273365153685,-0.0002619122856230154,-0.00026225161511129195,-0.00021077599657546035,-7.161505089235307e-05,-5.1475618535831594e-05,-0.7226089420747077,-0.24110361982433462,-0.24338510887678586,0.10271231034294208,-0.4815053222503731,0.4815053222503731,-0.3460974192197279,0.3460974192197279,lower_in_covered
