meta_pattern_id,contrast_group,contrast_group_label,selection_reason,node_id,feature,n_trajectories,mean_value,median_value,std_value,q25_value,q75_value,mean_robust_standardized_value,median_robust_standardized_value
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_0s,123,0.5365853658536586,0.0,1.1210671667238172,0.0,1.0,0.5365853658536586,0.0
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_iqr,123,0.0001262733338910169,0.00011573612945834971,6.575195249207297e-05,8.014947428035069e-05,0.0001529440748888866,-0.007789969019460356,-0.18558631515814702
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_kurt,123,8.708519376260613,3.985142616977618,10.617144898146181,1.1828104266107484,13.323699872786774,0.8638639762825725,0.24026709439017868
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_mad,123,6.466121246134701e-05,5.7674548674416594e-05,3.326141764102046e-05,4.162846539214988e-05,8.029576349645114e-05,-0.03671758767019198,-0.2732319846080318
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_mean,123,1.1238617610732674e-05,8.561944810051811e-06,1.3802880576932668e-05,1.6405454535415004e-06,1.9077263008928777e-05,0.31000164806831154,0.024235795872866783
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_meanse,123,1.9918170234759257e-05,1.673207405448001e-05,1.0496913485641299e-05,1.2324592954382286e-05,2.4824522789909753e-05,0.6546799203366374,0.20428545057548106
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_05,123,-0.00017040924391050258,-0.00013365894315055292,9.818511402819235e-05,-0.00020063596489653198,-0.00010654377227291455,-0.41616808951519096,0.08728728820382851
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_10,123,-0.00012646939169122016,-0.00010821056134191191,6.74517465455969e-05,-0.0001433075484775403,-8.93271963486167e-05,-0.42587975037155007,0.00019345768212347488
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_25,123,-5.882943891839908e-05,-5.406764446927781e-05,3.8920865816355894e-05,-8.442914420617923e-05,-2.837339786314464e-05,-0.0422184457465714,0.09061371915204125
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_75,123,6.744389497261782e-05,6.238091169191643e-05,3.4646705495079484e-05,4.4816793733187926e-05,8.356650765431594e-05,-0.07998431143683796,-0.22917622036222332
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_90,123,0.00014170776124176106,0.00012268865430438387,7.422406294068721e-05,9.701371000945592e-05,0.0001582558879095039,0.3433495025978202,0.022686530775071025
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_95,123,0.0002050632233852489,0.00018001076444914052,0.00011749374259742795,0.0001311274505569474,0.0002466083602671763,0.49727974000194414,0.19421115270618608
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_max,123,0.0006307030532458333,0.0004766586361649466,0.0004673266514726447,0.00029134461235188894,0.0008212200682866408,0.6479782858897464,0.2043302500944121
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_median,123,2.7047454497456047e-06,0.0,1.2420390693257646e-05,-5.497058782046778e-07,4.9591544747604405e-06,0.5663479165199672,1.2958056639339881e-12
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_quant_min,123,-0.0003335273365153685,-0.00026225161511129195,0.00026365855374576696,-0.0004077540961903829,-0.00014442396993671132,-0.7226089420747077,-0.24338510887678586
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_range,123,0.0009642303897612017,0.0008204627069367588,0.0006122908387186743,0.0005237261677375021,0.0011939647222205907,0.6889577739121258,0.3555303019013989
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_sd,123,0.00014771710396073554,0.00012408838228880725,7.784719391138706e-05,9.140162762235978e-05,0.00018410358835740053,0.6546799203366372,0.20428545057548103
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_skew,123,1.439823725120695,0.8597454995285165,1.9183667144175343,0.03870487333476214,2.7196189511866207,0.48651594211506527,0.1645957107232961
MP00001,covered,Target group,satisfies_required_uncommon_counts,Acceleration_Dynamics,acceleration_vcoef,123,2859407840407448.5,11.049604081406844,2.5164562813577716e+16,4.965215946340721,26.7170087617775,198892694285659.5,-0.046537482016468276
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_0s,123,0.11382113821138211,0.0,0.445451301847243,0.0,0.0,0.2994626822724018,0.0
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_iqr,123,2.5606665878087203,2.17871608516519,1.5649470608193778,1.4381691971378427,3.100107624689258,0.1270239154615169,-0.09527529393959568
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_kurt,123,0.49759277563366067,0.11124355719414813,1.8991895194141537,-0.7256736805564712,0.9768523704778946,0.8023075013922425,0.46311826025669
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_mad,123,1.1596164281267214,0.9829652514499703,0.6614872788588878,0.6859969241134081,1.4154363946696225,0.07102239710424844,-0.1657280596881123
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_mean,123,5.494064518038029,5.292456485863224,2.1000467637529527,3.6749073370981367,6.666529645522669,0.344191185390303,0.2610763606248226
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_meanse,123,0.2701129655586358,0.24700154351140224,0.14100403394574917,0.1767594427621797,0.3396985061626783,0.19791409659306783,0.052621129333498745
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_05,123,2.8476190021777645,2.686788784236085,1.7150579894381968,1.3738270887097555,3.969120918036999,0.44654185800794727,0.3645979474703179
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_10,123,3.2525391128367045,3.038229433382137,1.7500093604061147,1.9965749331588116,4.331281441810261,0.5133856956925913,0.4032014963543099
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_25,123,4.082445725946605,4.0461202935095635,1.8217384712039333,2.8685037323554106,5.099151017637715,0.44033583579628205,0.4228454323527506
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_75,123,6.643112313755325,6.317505935507529,2.6329826257174056,4.60290349477801,8.00944839135786,0.24713256889171775,0.13368342299442404
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_90,123,8.176113245194973,7.650440989089383,3.3286612577806767,5.475151406916794,9.930485518466416,0.2934674760658876,0.1437027518346025
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_95,123,9.012204580886554,8.156921765128507,3.738242891048594,6.320380829332187,11.2943809045933,0.3074102422989895,0.09472209291713031
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_max,123,10.600893271552637,9.905211057513762,4.526440582282869,7.54436769038909,13.288362040607803,0.3653261904626777,0.21658240968999024
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_median,123,5.249921926429537,5.147913270581459,2.0417567370770318,3.638735863266117,6.388895613420795,0.3412524661339369,0.30188076238845973
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_quant_min,123,2.11331553431413,2.0229661101928573,1.7458563229198079,0.7811981965763665,3.1694646737505052,0.648309800462656,0.5884445173890339
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_range,123,8.487577737238508,7.6416223167343444,4.244822620305039,5.388676906477031,10.98911999301497,0.28041604697324274,0.10046464467025618
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_sd,123,2.003211366520878,1.8318124732995549,1.0457139032228504,1.3108831119927498,2.5192715474723117,0.19791409659306772,0.052621129333498655
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_skew,123,0.45168048814073647,0.429954468874523,0.7794345447467651,-0.2249193576006539,0.9486650668681726,0.10878917485780709,0.08071984112778886
MP00001,covered,Target group,satisfies_required_uncommon_counts,Speed_Dynamics,speed_vcoef,123,0.38120481477928503,0.3555242818651926,0.16786488284690096,0.2547754862561794,0.4915457445233544,-0.16653888016144988,-0.28450740238119915
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_0s,123,0.5365853658536586,0.0,1.1210671667238172,0.0,1.0,0.5365853658536586,0.0
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_iqr,123,0.0001226432191128915,0.0001231770205862392,4.729027360236865e-05,9.360654341077268e-05,0.00015283018486216422,-0.06904161766488517,-0.06003467923722822
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_kurt,123,5.177562427778049,1.4746570261147376,7.62850397893236,0.15467592264577945,7.454790019952358,0.397694569228062,-0.09117607990691513
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_mad,123,6.294552428764597e-05,6.418687447431372e-05,2.3735406220722193e-05,4.7998548080591095e-05,7.997680632978492e-05,-0.09479751910976765,-0.05277500310755026
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_mean,123,7.796134356301988e-06,6.2184029762920276e-06,1.0476758484227443e-05,2.5910697247594382e-06,1.1502000402586531e-05,-0.057523348121248326,-0.2259644636096098
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_meanse,123,1.6273273073530884e-05,1.4089360570122078e-05,7.196544872975131e-06,1.1202872656350406e-05,1.8900991661429407e-05,0.13942820432550515,-0.16929509162074594
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_05,123,-0.00015655231738317897,-0.0001349783178385345,7.252361108352075e-05,-0.0001785047145806813,-0.00010801788546710152,-0.22633714841875258,0.06921270736625969
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_10,123,-0.00012216804305623184,-0.00010380777110927575,5.357849808357544e-05,-0.00013207348776344223,-8.98721672544198e-05,-0.3255069785780823,0.10293338805656514
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_25,123,-5.723710465245814e-05,-5.63566172689468e-05,2.6732122083742056e-05,-7.3530192586273e-05,-3.9927499185749254e-05,0.002200356880705003,0.026761905382511844
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_75,123,6.540611446043338e-05,6.915591260244366e-05,2.7186532569613454e-05,4.4523763422353634e-05,8.018544010498593e-05,-0.14003198446443504,-0.029535956357094162
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_90,123,0.00012928492238289081,0.00011944515312239568,5.221981431976087e-05,9.375919368715617e-05,0.00014842320965497387,0.1338998980461043,-0.031999040506035664
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_95,123,0.00017352052329165166,0.00015231018414258655,8.595154884322474e-05,0.00011694805939335172,0.00019740295940163106,0.11569637601997862,-0.14089270924166983
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_max,123,0.0004661839777022777,0.00038380473647116266,0.00031091998000219506,0.00025685332807102963,0.0006200907836258871,0.17416322592923317,-0.06308905010296902
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_median,123,1.2816977240838983e-06,-1.3322676295501878e-17,8.194810061335564e-06,-2.6827888308415356e-07,7.898885615003554e-07,0.26837528674405087,-1.4938357653989827e-12
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_quant_min,123,-0.0002619122856230154,-0.00021077599657546035,0.0001604365402079279,-0.00029566941055531287,-0.00016026441435898925,-0.24110361982433462,0.10271231034294208
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_range,123,0.0007280962633252931,0.0005927531088843173,0.0004057388659722488,0.0004477874332024424,0.0008859654512627262,0.1413131065835912,-0.17257611352936988
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_sd,123,0.00012068582314801436,0.00010448949454428464,5.337100519927421e-05,8.308272724515125e-05,0.00014017350576410052,0.13942820432550515,-0.16929509162074577
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_skew,123,1.0010556363763605,0.39953712672506353,1.439908727064762,0.018585484705881658,1.6765838081366187,0.24301718897413194,-0.09080154317306656
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,acceleration_vcoef,123,24770150870915.867,13.072733122732652,257684167238054.4,6.654560597068988,30.334140733962215,1722944861155.0317,0.09418591540539693
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_0s,123,0.0975609756097561,0.0,0.34722205697662806,0.0,0.0,0.2566822990906302,0.0
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_iqr,123,2.5497629939207838,2.133488451341199,1.4563116491194195,1.5459135379674969,3.108561708733302,0.12067790914880548,-0.12159825247105653
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_kurt,123,0.0036999183302942364,-0.2919053124698956,1.2223692756811788,-0.7941953929234076,0.4547963169248337,0.36870200803150915,0.10918002862697726
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_mad,123,1.2125743593586205,1.0251732497684558,0.6602751305887661,0.8064915113324402,1.3985872568437971,0.1419973809441408,-0.10916029110495645
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_mean,123,4.828379730722078,4.508712255213564,1.7860192805482524,3.521997215963413,5.910278418477166,0.06975631367428616,-0.062029637130871555
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_meanse,123,0.25954765069225316,0.2275914731589125,0.13420273624567355,0.16249319153606379,0.29486792955910657,0.13149386750326497,-0.06940280802814844
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,speed_quant_05,123,2.255662590538222,1.9610281934374048,1.3217624008146063,1.1443002477086688,3.085446142587763,0.14493670035556777,-0.005181200287286916
