trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
26,76,29,28,19,47,0.618421052631579,0.3684210526315789,0.25,Sampling_Gaps,8,0.42105263157894735,2.0224160511973257,0,0,0,7,0,0,0,0,1,0,0,8,0,1,0,0,2
27,76,1,57,18,75,0.9868421052631579,0.75,0.23684210526315788,Sequence_Complexity,2,0.1111111111111111,1.6890494765042392,2,2,0,2,2,0,0,1,0,0,2,2,2,0,1,1,1
28,76,2,63,11,74,0.9736842105263158,0.8289473684210527,0.14473684210526316,Sampling_Gaps,2,0.18181818181818182,1.2141296821212864,1,1,0,2,1,0,1,0,1,1,0,2,0,0,0,1,0
29,76,31,14,31,45,0.5921052631578947,0.18421052631578946,0.40789473684210525,Sampling_Gaps,8,0.25806451612903225,2.4847371185809104,0,5,0,8,0,2,6,0,0,0,0,8,0,0,0,0,2
30,76,61,3,12,15,0.19736842105263158,0.039473684210526314,0.15789473684210525,Extent,8,0.6666666666666666,1.0041134990554337,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0
31,76,22,35,19,54,0.7105263157894737,0.4605263157894737,0.25,Phase_Change,5,0.2631578947368421,2.152637491370807,0,0,0,0,4,0,0,2,0,0,5,0,0,2,0,4,2
32,76,37,22,17,39,0.5131578947368421,0.2894736842105263,0.2236842105263158,Indentation,6,0.35294117647058826,1.8599477684253967,0,0,5,0,6,0,6,0,0,0,0,0,0,0,0,0,0
33,76,10,50,16,66,0.868421052631579,0.6578947368421053,0.21052631578947367,Sampling_Gaps,4,0.25,1.8246778037097258,3,0,1,4,1,0,0,0,1,0,0,4,0,1,0,1,0
34,76,37,23,16,39,0.5131578947368421,0.3026315789473684,0.21052631578947367,Path_Evolution,7,0.4375,1.9163739414153071,4,0,0,0,0,0,0,1,0,7,3,0,0,0,1,0,0
35,76,18,52,6,58,0.7631578947368421,0.6842105263157895,0.07894736842105263,Speed,3,0.5,1.2711327388190872,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0
36,76,28,23,25,48,0.631578947368421,0.3026315789473684,0.32894736842105265,Sampling_Gaps,8,0.32,2.2241232731060276,4,0,0,7,6,0,0,0,0,0,0,8,0,0,0,0,0
