rule_id,pattern,evidence,n_covered,rule_support_count,rule_support_ratio,target_coverage,confidence,lift,growth_rate,growth_rate_status,covered_trajectory_ids
R00001,"When Acceleration is unusual relative to Indentation and Temporal is unusual relative to Spatial Context, Kinematic is also unusual relative to Spatial Context.",33 of 37 matching trajectories (89.2%) also showed this outcome; this is 8.3× its overall rate.,37,33,0.012276785714285714,0.11379310344827587,0.8918918918918919,8.266915191053121,68.21896551724139,finite,16;27;106;130;140;261;377;661;671;776;957;1006;1032;1039;1127;1277;1326;1350;1364;1417;1467;1529;1617;1663;1669;1749;2007;2104;2182;2190;2215;2244;2301;2329;2349;2477;2520
R00002,"When Acceleration is unusual relative to Sequence Complexity and SpatioTemporal Dynamics is unusual relative to Geometric, Kinematic is also unusual relative to Geometric.",41 of 46 matching trajectories (89.1%) also showed this outcome; this is 7.8× its overall rate.,46,41,0.01525297619047619,0.13268608414239483,0.8913043478260869,7.753482482059941,63.13203883495146,finite,81;106;276;317;498;503;671;714;783;784;905;980;1039;1049;1051;1077;1093;1125;1318;1362;1467;1487;1508;1536;1562;1670;1713;1737;1743;1744;1788;1811;1813;1923;2196;2209;2251;2323;2355;2360;2526;2540;2597;2600;2647;2674
R00003,"When Acceleration is unusual relative to Displacement and Temporal is unusual relative to Geometric, Kinematic is also unusual relative to Geometric.",45 of 51 matching trajectories (88.2%) also showed this outcome; this is 7.7× its overall rate.,51,45,0.016741071428571428,0.14563106796116504,0.8823529411764706,7.675613934894346,57.74271844660194,finite,130;221;261;276;321;366;383;503;632;784;795;929;943;962;1035;1160;1217;1228;1248;1279;1326;1464;1467;1519;1524;1656;1703;1743;1744;1749;1762;1775;1810;1813;1864;1923;2054;2059;2104;2251;2260;2323;2360;2477;2498;2519;2520;2540;2560;2600;2656
R00004,"When Acceleration is unusual relative to Sequence Complexity and SpatioTemporal Dynamics is unusual relative to Spatial Context, Kinematic is also unusual relative to Spatial Context.",35 of 40 matching trajectories (87.5%) also showed this outcome; this is 8.1× its overall rate.,40,35,0.013020833333333334,0.1206896551724138,0.875,8.110344827586207,57.88275862068966,finite,34;61;101;106;291;317;361;435;553;588;600;647;661;671;1032;1039;1151;1154;1189;1243;1336;1417;1467;1541;1568;1670;1711;1713;1744;1760;1811;1813;1943;2054;2115;2204;2303;2416;2647;2674
R00005,"When Acceleration is unusual relative to Indentation and SpatioTemporal Dynamics is unusual relative to Geometric, Kinematic is also unusual relative to Geometric.",42 of 48 matching trajectories (87.5%) also showed this outcome; this is 7.6× its overall rate.,48,42,0.015625,0.13592233009708737,0.875,7.611650485436893,53.89320388349515,finite,53;65;106;130;276;364;496;539;671;723;828;929;980;1039;1049;1093;1125;1132;1144;1231;1289;1362;1467;1505;1508;1524;1536;1558;1703;1743;1762;1788;1813;1864;2163;2182;2196;2248;2251;2355;2360;2495;2539;2540;2597;2642;2645;2647
R00006,"When Acceleration is unusual relative to Localization and Temporal is unusual relative to Geometric, Kinematic is also unusual relative to Geometric.",47 of 54 matching trajectories (87.0%) also showed this outcome; this is 7.6× its overall rate.,54,47,0.017485119047619048,0.15210355987055016,0.8703703703703703,7.571377202445164,51.69348127600555,finite,15;53;81;366;582;632;713;736;828;943;1039;1051;1072;1077;1180;1217;1279;1310;1326;1362;1418;1467;1489;1529;1642;1663;1670;1737;1749;1775;1813;1818;1864;1872;1894;1921;1977;2059;2182;2244;2251;2260;2301;2318;2355;2384;2449;2453;2477;2519;2520;2540;2600;2643
R00007,"When Phase Change is unusual relative to Displacement and Spatial Context is unusual relative to Geometric, Temporal is also unusual relative to Geometric.",40 of 47 matching trajectories (85.1%) also showed this outcome; this is 7.2× its overall rate.,47,40,0.01488095238095238,0.12539184952978055,0.851063829787234,7.171346628426599,42.436184505150024,finite,14;85;221;503;611;625;632;817;940;962;1035;1160;1217;1228;1248;1274;1284;1310;1524;1580;1587;1647;1656;1732;1743;1762;1864;1883;1923;2002;2059;2096;2219;2251;2291;2318;2357;2360;2466;2479;2540;2552;2590;2600;2642;2656;2686
