rule_id,pattern,evidence,n_covered,rule_support_count,rule_support_ratio,target_coverage,confidence,lift,growth_rate,growth_rate_status,covered_trajectory_ids
R00200,"When Spatial Reach and Route is unusual relative to Acceleration Dynamics and Temporal Sequential Context is unusual relative to Turning Dynamics, Spatial Reach and Route is also unusual relative to Turning Dynamics.",47 of 56 matching trajectories (83.9%) also showed this outcome; this is 6.5× its overall rate.,56,47,0.01006423982869379,0.07846410684474124,0.8392857142857143,6.5433460529453855,35.49193099610462,finite,56;187;430;524;617;714;904;1202;1269;1299;1371;1372;1374;1423;1533;1547;1721;2010;2025;2026;2028;2029;2038;2056;2079;2319;2389;2517;2537;2604;2735;2809;2810;2856;2867;2891;2950;2974;3052;3073;3091;3157;3181;3469;3512;3631;3647;3920;3948;4084;4092;4169;4194;4366;4586;4639
R00201,"When Temporal Sequential Context is unusual relative to Acceleration Dynamics and Curvature Geometry is unusual relative to Spatial Reach and Route, Temporal Sequential Context is also unusual relative to Spatial Reach and Route.",52 of 62 matching trajectories (83.9%) also showed this outcome; this is 8.0× its overall rate.,62,52,0.01113490364025696,0.10612244897959183,0.8387096774193549,7.99341672152732,44.35918367346939,finite,51;114;355;382;387;419;436;438;568;570;666;667;772;815;851;903;944;1052;1058;1131;1218;1219;1261;1497;1507;1553;1594;1601;1635;1823;1887;1966;2108;2324;2541;2701;2850;2865;2977;3005;3045;3075;3258;3304;3306;3339;3348;3354;3377;3497;3639;3648;3754;3779;3896;4000;4005;4008;4159;4405;4474;4605
R00202,"When Temporal Sequential Context is unusual relative to Acceleration Dynamics and Curvature Geometry is unusual relative to Spatial Reach and Route, Curvature Geometry is also unusual relative to Acceleration Dynamics.",52 of 62 matching trajectories (83.9%) also showed this outcome; this is 6.8× its overall rate.,62,52,0.01113490364025696,0.09059233449477352,0.8387096774193549,6.8236484208160055,37.10662020905924,finite,51;114;355;382;387;419;436;438;568;570;666;667;772;815;851;903;944;1052;1058;1131;1218;1219;1261;1497;1507;1553;1594;1601;1635;1823;1887;1966;2108;2324;2541;2701;2850;2865;2977;3005;3045;3075;3258;3304;3306;3339;3348;3354;3377;3497;3639;3648;3754;3779;3896;4000;4005;4008;4159;4405;4474;4605
R00203,"When Curvature Geometry is unusual relative to Acceleration Dynamics and Turning Dynamics is unusual relative to Temporal Sequential Context, Curvature Geometry is also unusual relative to Temporal Sequential Context.",78 of 93 matching trajectories (83.9%) also showed this outcome; this is 6.8× its overall rate.,93,78,0.01670235546038544,0.13494809688581316,0.8387096774193549,6.776425940395133,36.81384083044983,finite,2;212;235;310;313;444;494;522;604;646;669;673;677;763;814;833;837;854;855;859;871;995;1001;1089;1105;1135;1167;1181;1184;1195;1206;1208;1211;1387;1406;1412;1413;1419;1421;1596;1606;1624;1634;1702;1715;1761;1843;1851;1903;1967;2018;2062;2088;2101;2219;2244;2257;2479;2535;2670;2687;2768;2823;2834;2887;2913;3049;3050;3124;3137;3234;3309;3382;3389;3398;3461;3494;3496;3511;3636;3733;3749;3942;4003;4100;4141;4276;4281;4320;4404;4416;4433;4435
R00204,"When Acceleration Dynamics is unusual relative to Curvature Geometry and Turning Dynamics is unusual relative to Temporal Sequential Context, Turning Dynamics is also unusual relative to Curvature Geometry.",52 of 62 matching trajectories (83.9%) also showed this outcome; this is 6.6× its overall rate.,62,52,0.01113490364025696,0.08828522920203735,0.8387096774193549,6.649871296347007,36.02920203735144,finite,23;137;169;215;223;263;269;276;307;311;320;383;587;770;876;979;980;1076;1277;1318;1319;1343;1356;1478;1531;1581;1708;1787;1870;1952;1992;2278;2405;2465;2498;2503;2509;2567;2613;2712;2780;2828;2838;2841;2843;2903;2932;3055;3102;3156;3226;3762;3880;3883;4051;4073;4297;4423;4517;4566;4615;4632
R00205,"When Speed Dynamics is unusual relative to Curvature Geometry and Spatial Reach and Route is unusual relative to Temporal Sequential Context, Speed Dynamics is also unusual relative to Temporal Sequential Context.",57 of 68 matching trajectories (83.8%) also showed this outcome; this is 7.4× its overall rate.,68,57,0.012205567451820129,0.10795454545454546,0.8382352941176471,7.413937165775402,40.64979338842976,finite,23;29;50;92;119;124;606;637;825;876;940;978;980;1170;1205;1207;1366;1459;1477;1607;1952;2037;2042;2074;2183;2189;2209;2217;2228;2321;2467;2502;2503;2505;2507;2509;2511;2608;2660;2671;2689;2776;2778;2826;2903;2953;3072;3102;3425;3447;3680;3692;3876;4051;4074;4114;4139;4156;4296;4323;4423;4445;4453;4459;4567;4568;4585;4596
R00206,"When Speed Dynamics is unusual relative to Curvature Geometry and Spatial Reach and Route is unusual relative to Temporal Sequential Context, Spatial Reach and Route is also unusual relative to Curvature Geometry.",57 of 68 matching trajectories (83.8%) also showed this outcome; this is 6.9× its overall rate.,68,57,0.012205567451820129,0.10088495575221239,0.8382352941176471,6.928422696512233,37.64843121480289,finite,23;29;50;92;119;124;606;637;825;876;940;978;980;1170;1205;1207;1366;1459;1477;1607;1952;2037;2042;2074;2183;2189;2209;2217;2228;2321;2467;2502;2503;2505;2507;2509;2511;2608;2660;2671;2689;2776;2778;2826;2903;2953;3072;3102;3425;3447;3680;3692;3876;4051;4074;4114;4139;4156;4296;4323;4423;4445;4453;4459;4567;4568;4585;4596
R00207,"When Acceleration Dynamics is unusual relative to Temporal Sequential Context and Speed Dynamics is unusual relative to Turning Dynamics, Acceleration Dynamics is also unusual relative to Turning Dynamics.",57 of 68 matching trajectories (83.8%) also showed this outcome; this is 6.6× its overall rate.,68,57,0.012205567451820129,0.09612141652613827,0.8382352941176471,6.6012796349568506,35.62609228882416,finite,24;53;92;162;233;240;294;299;301;316;420;530;637;715;825;841;1297;1321;1366;1557;1575;1585;1603;1604;1625;1654;1762;1764;1867;1883;2037;2039;2042;2045;2186;2229;2253;2368;2451;2505;2511;2614;2680;2689;2763;2873;3024;3228;3318;3396;3425;3605;3606;3608;3618;3812;3943;3967;4035;4079;4155;4312;4323;4388;4453;4459;4567;4577
R00208,"When Curvature Geometry is unusual relative to Acceleration Dynamics and Turning Dynamics is unusual relative to Spatial Reach and Route, Curvature Geometry is also unusual relative to Spatial Reach and Route.",67 of 80 matching trajectories (83.8%) also showed this outcome; this is 7.0× its overall rate.,80,67,0.014346895074946468,0.12028725314183124,0.8375,7.0217684021543985,38.05703632095015,finite,235;310;313;390;419;444;576;666;673;832;833;837;851;875;922;1062;1089;1096;1135;1184;1208;1211;1219;1240;1258;1261;1412;1413;1419;1497;1567;1594;1634;1635;1843;1887;1903;1914;1964;1973;2062;2099;2127;2136;2219;2324;2540;2670;2834;3215;3258;3304;3309;3312;3316;3339;3348;3354;3382;3389;3461;3497;3538;3561;3749;3779;3915;3942;4002;4005;4007;4204;4276;4405;4433;4435;4474;4507;4605;4633
R00209,"When Speed Dynamics is unusual relative to Acceleration Dynamics and Spatial Reach and Route is unusual relative to Turning Dynamics, Spatial Reach and Route is also unusual relative to Acceleration Dynamics.",36 of 43 matching trajectories (83.7%) also showed this outcome; this is 9.9× its overall rate.,43,36,0.007708779443254818,0.09137055837563451,0.8372093023255814,9.923267618935192,55.81435823060188,finite,15;28;29;124;155;187;192;356;389;396;430;524;544;612;893;1173;1423;1480;1533;1607;2010;2024;2025;2026;2389;2517;2723;2746;2759;2809;2856;2950;3011;3091;3230;3473;3508;3818;3834;4194;4445;4501;4586
R00210,"When Acceleration Dynamics is unusual relative to Speed Dynamics and Spatial Reach and Route is unusual relative to Temporal Sequential Context, Spatial Reach and Route is also unusual relative to Speed Dynamics.",36 of 43 matching trajectories (83.7%) also showed this outcome; this is 9.1× its overall rate.,43,36,0.007708779443254818,0.08411214953271028,0.8372093023255814,9.13497065855249,50.971962616822424,finite,5;116;137;211;213;324;329;331;515;709;826;979;1411;1488;1696;2060;2086;2164;2313;2361;2485;2644;2668;2686;2696;3004;3158;3212;3264;3334;3374;3468;3527;3542;3546;3880;3931;3972;4110;4362;4517;4637;4654
R00211,"When Spatial Reach and Route is unusual relative to Curvature Geometry and Speed Dynamics is unusual relative to Turning Dynamics, Spatial Reach and Route is also unusual relative to Turning Dynamics.",72 of 86 matching trajectories (83.7%) also showed this outcome; this is 6.5× its overall rate.,86,72,0.015417558886509636,0.12020033388981637,0.8372093023255814,6.527157665877238,34.952539947531605,finite,12;13;14;124;133;172;477;608;618;619;631;1037;1205;1259;1293;1298;1341;1366;1447;1477;1492;1605;1756;2010;2025;2143;2155;2184;2199;2229;2258;2297;2321;2329;2365;2444;2505;2511;2689;2826;2856;3014;3023;3027;3052;3230;3285;3293;3425;3447;3577;3596;3682;3692;3699;3707;3747;3750;3781;3808;3860;3868;4027;4075;4149;4150;4152;4156;4164;4225;4236;4254;4324;4359;4445;4453;4483;4501;4502;4543;4567;4569;4579;4585;4612;4663
R00212,"When Speed Dynamics is unusual relative to Acceleration Dynamics and Spatial Reach and Route is unusual relative to Temporal Sequential Context, Speed Dynamics is also unusual relative to Temporal Sequential Context.",41 of 49 matching trajectories (83.7%) also showed this outcome; this is 7.4× its overall rate.,49,41,0.008779443254817988,0.07765151515151515,0.8367346938775511,7.400664811379098,40.20407196969697,finite,15;28;29;50;124;155;192;198;396;527;646;706;854;859;1166;1167;1173;1189;1480;1493;1568;1607;1851;1943;2467;2554;2660;2671;2688;2723;2744;2746;2776;2887;2953;3012;3108;3124;3345;3506;3733;3818;4100;4139;4178;4320;4401;4445;4617
R00213,"When Temporal Sequential Context is unusual relative to Acceleration Dynamics and Spatial Reach and Route is unusual relative to Turning Dynamics, Spatial Reach and Route is also unusual relative to Acceleration Dynamics.",46 of 55 matching trajectories (83.6%) also showed this outcome; this is 9.9× its overall rate.,55,46,0.009850107066381156,0.116751269035533,0.8363636363636363,9.913244116289802,55.46982515510434,finite,56;187;332;371;389;430;524;612;945;1269;1371;1372;1374;1423;1533;1547;1721;1756;2010;2025;2026;2029;2038;2056;2079;2319;2389;2517;2604;2735;2809;2810;2891;2950;2974;3052;3073;3091;3181;3289;3469;3473;3508;3512;3647;3653;3738;3920;4084;4092;4194;4205;4366;4523;4586
