rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00139,Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,2,4670,483,42,0.008993576017130621,0.08695652173913043,49,0.010492505353319057,0.8571428571428571,0.10342612419700214,8.287488908606921,52.01242236024844,finite,0.007908376855320535
R00140,Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics,Curvature_Geometry__x__Speed_Dynamics,Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Acceleration_Dynamics;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,4670,557,48,0.010278372591006424,0.08617594254937164,56,0.011991434689507495,0.8571428571428571,0.11927194860813704,7.186458066170813,44.305206463195695,finite,0.008848130808981653
R00141,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,Curvature_Geometry__x__Speed_Dynamics,Uncommon Curvature_Geometry,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Spatial_Reach_and_Route,2,4670,563,54,0.011563169164882228,0.09591474245115453,63,0.013490364025695931,0.8571428571428571,0.12055674518201284,7.109870591220503,43.769094138543515,finite,0.00993681478662381
R00142,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,4670,593,54,0.011563169164882228,0.09106239460370995,63,0.013490364025695931,0.8571428571428571,0.12698072805139185,6.750180679354373,41.251264755480605,finite,0.009850152919221053
R00143,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Turning_Dynamics,Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Speed_Dynamics;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,4670,593,54,0.011563169164882228,0.09106239460370995,63,0.013490364025695931,0.8571428571428571,0.12698072805139185,6.750180679354373,41.251264755480605,finite,0.009850152919221053
R00144,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,2,4670,599,84,0.017987152034261242,0.14023372287145242,98,0.020985010706638114,0.8571428571428571,0.12826552462526766,6.682566181731457,40.777963272120196,finite,0.015295498626707446
R00145,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,2,4670,599,48,0.010278372591006424,0.08013355592654424,56,0.011991434689507495,0.8571428571428571,0.12826552462526766,6.682566181731457,40.7779632721202,finite,0.00874028492954711
R00146,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Spatial_Reach_and_Route;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Temporal_Sequential_Context,2,4670,599,48,0.010278372591006424,0.08013355592654424,56,0.011991434689507495,0.8571428571428571,0.12826552462526766,6.682566181731457,40.7779632721202,finite,0.00874028492954711
R00147,Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,Temporal_Sequential_Context__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,2,4670,611,42,0.008993576017130621,0.06873977086743044,49,0.010492505353319057,0.8571428571428571,0.13083511777301926,6.551321019406126,39.85924713584288,finite,0.0076207878434950875
R00148,Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Speed_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,4670,604,77,0.016488222698072805,0.12748344370860928,90,0.019271948608137045,0.8555555555555555,0.12933618843683084,6.6149742457689475,39.87289862455426,finite,0.013995662321345873
