rule_id,feature,feature_role,feature_nodes,n_neighbor_pairs,mean_positive_value,mean_counterexample_value,mean_raw_difference,mean_absolute_robust_standardized_difference
R00001,acceleration_vcoef,antecedent_and_target,Acceleration;Kinematic,33,1984898854335130.8,22.70899892376469,1984898854335108.0,138064208765333.33
R00001,acceleration_kurt,antecedent_and_target,Acceleration;Kinematic,33,5.668316991067937,10.154881464141425,-4.486564473073487,1.564012734803768
R00001,acceleration_quant_10,antecedent_and_target,Acceleration;Kinematic,33,-0.00014607308138240232,-8.16004611787219e-05,-6.447262020368043e-05,1.5526528144607437
R00001,acceleration_meanse,antecedent_and_target,Acceleration;Kinematic,33,1.9198700498081993e-05,1.4176464064667405e-05,5.022236433414588e-06,1.49308300666158
R00001,acceleration_sd,antecedent_and_target,Acceleration;Kinematic,33,0.0001423813735880784,0.00010513547134875244,3.724590223932599e-05,1.4930830066615794
R00001,acceleration_quant_max,antecedent_and_target,Acceleration;Kinematic,33,0.0005377294024548685,0.0005555531935303216,-1.782379107545292e-05,1.4709550276404089
R00001,acceleration_range,antecedent_and_target,Acceleration;Kinematic,33,0.0008439723569333354,0.0007067758391359901,0.00013719651779734538,1.4005869280745058
R00001,acceleration_mean,antecedent_and_target,Acceleration;Kinematic,33,5.78957195651406e-06,1.251386995203706e-05,-6.724297995523e-06,1.3796068086113258
R00001,bbox_area_km2,antecedent_and_target,Spatial_Context,33,1758963.767517959,3238318.851786052,-1479355.0842680924,1.3125051965778336
R00001,acceleration_skew,antecedent_and_target,Acceleration;Kinematic,33,0.863784842708247,2.134325272519006,-1.270540429810759,1.2865328124612572
R00001,speed_kurt,target,Kinematic,33,-0.3120910969666051,0.37064948720125895,-0.682740584167864,1.2834754409662106
R00001,acceleration_mad,antecedent_and_target,Acceleration;Kinematic,33,7.132970122096367e-05,4.106633872595371e-05,3.0263362495009966e-05,1.2615779124097533
R00001,acceleration_quant_median,antecedent_and_target,Acceleration;Kinematic,33,3.7546678830289193e-06,-1.2983116703916838e-06,5.052979553420604e-06,1.2295147976437057
R00001,acceleration_quant_05,antecedent_and_target,Acceleration;Kinematic,33,-0.00019088391742412816,-0.0001080521846489664,-8.283173277516174e-05,1.2294692905780327
R00001,speed_quant_min,target,Kinematic,33,2.3088388854749278,1.8203854037506717,0.4884534817242557,1.2021945765295996
R00001,acceleration_mean_first_half,antecedent,Temporal,33,1.2080964406827128e-05,1.754681608604033e-05,-5.465851679213202e-06,1.1888331215757353
R00001,acceleration_iqr,antecedent_and_target,Acceleration;Kinematic,33,0.00014189753002995494,9.164745093151875e-05,5.0250079098436183e-05,1.1597954891802977
R00001,acceleration_quant_min,antecedent_and_target,Acceleration;Kinematic,33,-0.00030624295447846683,-0.0001512226456056685,-0.0001550203088727983,1.1384438758786715
R00001,acceleration_quant_25,antecedent_and_target,Acceleration;Kinematic,33,-6.990347299928298e-05,-3.824688486073018e-05,-3.16565881385528e-05,1.1356720022913043
R00001,acceleration_quant_75,antecedent_and_target,Acceleration;Kinematic,33,7.199405703067195e-05,5.3400566070788575e-05,1.859349095988338e-05,1.1287824874211767
