rule_id,positive_trajectory_id,counterexample_trajectory_id,neighbor_rank,feature,feature_role,feature_nodes,positive_value,counterexample_value,raw_difference,robust_standardized_difference,absolute_robust_standardized_difference
R00001,16,2244,1,acceleration_0s,antecedent_and_target,Acceleration;Kinematic,3.0,0.0,3.0,3.0,3.0
R00001,16,2244,1,acceleration_iqr,antecedent_and_target,Acceleration;Kinematic,7.549428725985778e-05,0.00011031689982714775,-3.482261256728997e-05,-0.5875688677229269,0.5875688677229269
R00001,16,2244,1,acceleration_kurt,antecedent_and_target,Acceleration;Kinematic,-0.36708549726568407,12.843184526658975,-13.210270023924659,-1.744066504897331,1.744066504897331
R00001,16,2244,1,acceleration_mad,antecedent_and_target,Acceleration;Kinematic,3.3083047071993345e-05,5.135796911036477e-05,-1.8274922038371423e-05,-0.6186475114312666,0.6186475114312666
R00001,16,2244,1,acceleration_mean,antecedent_and_target,Acceleration;Kinematic,-1.6987204990204635e-06,1.6405231421463386e-06,-3.3392436411668023e-06,-0.3565029706146827,0.3565029706146827
R00001,16,2244,1,acceleration_meanse,antecedent_and_target,Acceleration;Kinematic,9.002856640592642e-06,1.2498719974295666e-05,-3.4958633337030244e-06,-0.4941839239776628,0.4941839239776628
R00001,16,2244,1,acceleration_quant_05,antecedent_and_target,Acceleration;Kinematic,-0.0001065321835677578,-0.00011021036282351614,3.6781792557583363e-06,0.05038867950011883,0.05038867950011883
R00001,16,2244,1,acceleration_quant_10,antecedent_and_target,Acceleration;Kinematic,-8.944505557841768e-05,-8.597732265846052e-05,-3.4677329199571595e-06,-0.08092019376999454,0.08092019376999454
R00001,16,2244,1,acceleration_quant_25,antecedent_and_target,Acceleration;Kinematic,-4.840174046173877e-05,-6.235480574538824e-05,1.3953065283649465e-05,0.38922634910057063,0.38922634910057063
R00001,16,2244,1,acceleration_quant_75,antecedent_and_target,Acceleration;Kinematic,2.7092546798119008e-05,4.796209408175951e-05,-2.0869547283640505e-05,-0.6149669917976862,0.6149669917976862
R00001,16,2244,1,acceleration_quant_90,antecedent_and_target,Acceleration;Kinematic,8.94450555784215e-05,7.727314719315963e-05,1.217190838526187e-05,0.20521890583105162,0.20521890583105162
R00001,16,2244,1,acceleration_quant_95,antecedent_and_target,Acceleration;Kinematic,0.00010683101283658804,9.558817091687917e-05,1.1242841919708875e-05,0.13600869385657932,0.13600869385657932
R00001,16,2244,1,acceleration_quant_max,antecedent_and_target,Acceleration;Kinematic,0.0001723012011124294,0.0005009676648143054,-0.0003286664637018761,-0.94655965997503,0.94655965997503
R00001,16,2244,1,acceleration_quant_median,antecedent_and_target,Acceleration;Kinematic,-1.0373724305913336e-07,-8.227508675832477e-08,-2.146215630080859e-08,-0.004493970959856597,0.004493970959856597
R00001,16,2244,1,acceleration_quant_min,antecedent_and_target,Acceleration;Kinematic,-0.00011221792653206339,-0.00015197241644810677,3.9754489916043375e-05,0.26729016092855457,0.26729016092855457
R00001,16,2244,1,acceleration_range,antecedent_and_target,Acceleration;Kinematic,0.0002845191276444928,0.0006529400812624122,-0.00036842095361791944,-0.8544456221820589,0.8544456221820589
R00001,16,2244,1,acceleration_sd,antecedent_and_target,Acceleration;Kinematic,6.67669717975023e-05,9.269298816400387e-05,-2.5926016366501574e-05,-0.49418392397766275,0.49418392397766275
R00001,16,2244,1,acceleration_skew,antecedent_and_target,Acceleration;Kinematic,0.28962124352066715,2.6424096396189323,-2.352788396098265,-1.305703526648692,1.305703526648692
R00001,16,2244,1,acceleration_vcoef,antecedent_and_target,Acceleration;Kinematic,-39.30427155968405,56.50209118216476,-95.8063627418488,-6.664032092994595,6.664032092994595
R00001,16,2244,1,angles_0s,antecedent,Indentation,21.0,0.0,21.0,1.75,1.75
R00001,16,2244,1,angles_iqr,antecedent,Indentation,18.4349488229223,6.873048848801432,11.56189997412087,1.2412653950312182,1.2412653950312182
R00001,16,2244,1,angles_kurt,antecedent,Indentation,-0.2329370648768534,0.30276394553195063,-0.535701010408804,-0.08418570626164162,0.08418570626164162
R00001,16,2244,1,angles_mad,antecedent,Indentation,8.551364484525987,2.6685534272108216,5.882811057315165,1.3738184823755901,1.3738184823755901
R00001,16,2244,1,angles_mean,antecedent,Indentation,10.743711660730238,5.203884319374379,5.539827341355859,0.6628325745865294,0.6628325745865294
R00001,16,2244,1,angles_meanse,antecedent,Indentation,1.5094264460466873,0.6511046039047005,0.8583218421419868,0.4793062772004399,0.4793062772004399
R00001,16,2244,1,angles_quant_05,antecedent,Indentation,0.0,0.1855739096472304,-0.1855739096472304,-0.41462181484628535,0.41462181484628535
R00001,16,2244,1,angles_quant_10,antecedent,Indentation,0.0,0.5733477926897624,-0.5733477926897624,-0.6386588272838271,0.6386588272838271
