trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
25,76,1,59,16,75,0.9868421052631579,0.7763157894736842,0.21052631578947367,Speed,2,0.125,1.4706125145968927,2,2,2,0,2,0,0,0,2,2,2,0,0,0,0,2,0
26,76,10,44,22,66,0.868421052631579,0.5789473684210527,0.2894736842105263,Sequence_Complexity,4,0.18181818181818182,2.1401754125083463,2,4,3,0,0,0,4,0,4,0,1,0,4,0,0,0,0
27,76,21,30,25,55,0.7236842105263158,0.39473684210526316,0.32894736842105265,Sequence_Complexity,6,0.24,2.3897719705827054,0,0,4,0,4,0,0,0,6,0,0,0,6,3,0,2,0
28,76,16,38,22,60,0.7894736842105263,0.5,0.2894736842105263,Sampling_Gaps,5,0.22727272727272727,2.270951632730866,0,5,0,0,5,1,2,0,0,2,0,5,0,1,1,0,0
29,76,1,67,8,75,0.9868421052631579,0.881578947368421,0.10526315789473684,Sequence_Complexity,2,0.25,0.8212436218558125,0,0,2,1,1,0,0,0,2,0,0,0,2,0,0,0,0
30,76,6,60,10,70,0.9210526315789473,0.7894736842105263,0.13157894736842105,Sequence_Complexity,2,0.2,1.3015694773799267,0,0,2,0,0,0,0,0,2,0,0,1,2,1,1,1,0
31,76,3,46,27,73,0.9605263157894737,0.6052631578947368,0.35526315789473684,Speed,3,0.1111111111111111,2.2790758687033583,0,3,3,3,3,0,3,0,3,0,0,3,3,0,0,3,0
32,76,6,55,15,70,0.9210526315789473,0.7236842105263158,0.19736842105263158,Extent,4,0.26666666666666666,1.6494464707043321,1,0,0,4,4,0,0,0,0,1,1,1,1,1,0,1,0
33,76,6,69,1,70,0.9210526315789473,0.9078947368421053,0.013157894736842105,Duration,1,1.0,0.497954322364367,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,76,27,35,14,49,0.6447368421052632,0.4605263157894737,0.18421052631578946,Sequence_Complexity,5,0.35714285714285715,1.9285670380740094,0,0,1,2,3,0,0,0,0,0,0,0,5,0,2,1,0
35,76,9,48,19,67,0.881578947368421,0.631578947368421,0.25,Sampling_Gaps,4,0.21052631578947367,2.0294074470278445,0,0,1,4,2,0,2,0,1,0,0,4,2,0,0,2,1
36,76,0,67,9,76,1.0,0.881578947368421,0.11842105263157894,Sequence_Complexity,1,0.1111111111111111,0.9001909902768652,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0
37,76,34,23,19,42,0.5526315789473685,0.3026315789473684,0.25,Path_Evolution,5,0.2631578947368421,2.114571236199025,0,0,0,4,4,0,0,0,0,5,0,0,3,0,3,0,0
38,76,22,35,19,54,0.7105263157894737,0.4605263157894737,0.25,Extent,6,0.3157894736842105,2.1064562413138734,0,0,0,5,6,0,4,0,0,1,0,0,0,2,1,0,0
39,76,42,13,21,34,0.4473684210526316,0.17105263157894737,0.27631578947368424,Sequence_Complexity,9,0.42857142857142855,1.9027724004924447,0,0,0,6,0,0,0,0,5,0,0,0,9,1,0,0,0
40,76,13,49,14,63,0.8289473684210527,0.6447368421052632,0.18421052631578946,Duration,4,0.2857142857142857,1.81073674110833,2,0,0,4,0,0,1,1,0,0,1,2,0,0,0,2,1
41,76,37,23,16,39,0.5131578947368421,0.3026315789473684,0.21052631578947367,Sampling_Gaps,7,0.4375,1.9426897308889914,3,0,0,0,0,0,2,2,0,0,0,7,0,0,0,0,2
42,76,27,36,13,49,0.6447368421052632,0.47368421052631576,0.17105263157894737,Indentation,5,0.38461538461538464,1.8681407951944118,0,2,1,0,0,3,5,0,0,1,0,1,0,0,0,0,0
43,76,0,71,5,76,1.0,0.9342105263157895,0.06578947368421052,Sampling_Gaps,1,0.2,0.5027690202221062,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
44,76,10,58,8,66,0.868421052631579,0.7631578947368421,0.10526315789473684,Acceleration,4,0.5,1.1724398007010026,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,76,6,49,21,70,0.9210526315789473,0.6447368421052632,0.27631578947368424,Sampling_Gaps,3,0.14285714285714285,1.9858910676394224,3,3,3,0,0,0,3,0,0,3,3,3,0,0,0,0,0
46,76,34,21,21,42,0.5526315789473685,0.27631578947368424,0.27631578947368424,Curvature,8,0.38095238095238093,2.106846230743685,0,8,0,0,4,1,0,0,0,0,2,0,6,0,0,0,0
47,76,1,64,11,75,0.9868421052631579,0.8421052631578947,0.14473684210526316,Temporal,1,0.09090909090909091,1.195295934496217,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1
48,76,29,27,20,47,0.618421052631579,0.35526315789473684,0.2631578947368421,Indentation,8,0.4,2.0470931526920952,0,8,0,0,1,2,8,0,0,1,0,0,0,0,0,0,0
49,76,55,11,10,21,0.27631578947368424,0.14473684210526316,0.13157894736842105,Indentation,9,0.9,1.1879557099982254,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
50,76,51,6,19,25,0.32894736842105265,0.07894736842105263,0.25,Sampling_Gaps,9,0.47368421052631576,1.4865838625115482,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,1
51,76,22,43,11,54,0.7105263157894737,0.5657894736842105,0.14473684210526316,Acceleration,7,0.6363636363636364,1.6283437698039276,7,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
52,76,10,48,18,66,0.868421052631579,0.631578947368421,0.23684210526315788,Duration,4,0.2222222222222222,1.9378993096280654,2,3,0,4,0,0,0,1,0,3,2,3,0,0,0,0,0
53,76,4,65,7,72,0.9473684210526315,0.8552631578947368,0.09210526315789473,Sequence_Complexity,2,0.2857142857142857,0.9130076733534599,0,2,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0
54,76,24,51,1,52,0.6842105263157895,0.6710526315789473,0.013157894736842105,Duration,1,1.0,0.9935486653139273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,76,6,49,21,70,0.9210526315789473,0.6447368421052632,0.27631578947368424,Extent,4,0.19047619047619047,1.9203588309111836,0,4,3,4,4,0,0,0,0,3,0,3,0,0,0,0,0
56,76,0,76,0,76,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,76,38,26,12,38,0.5,0.34210526315789475,0.15789473684210525,Extent,6,0.5,1.7328952346692226,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
58,76,42,16,18,34,0.4473684210526316,0.21052631578947367,0.23684210526315788,Speed,9,0.5,1.856328246708688,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,9,0
59,76,34,21,21,42,0.5526315789473685,0.27631578947368424,0.27631578947368424,Extent,7,0.3333333333333333,2.0620720941789963,0,0,7,0,7,0,0,0,0,2,0,5,0,0,0,0,0
60,76,2,57,17,74,0.9736842105263158,0.75,0.2236842105263158,Temporal,2,0.11764705882352941,1.7416810554516078,1,0,1,1,0,0,1,2,1,2,1,1,1,0,2,1,2
61,76,55,10,11,21,0.27631578947368424,0.13157894736842105,0.14473684210526316,Sequence_Complexity,9,0.8181818181818182,1.2252513265263392,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
62,76,16,35,25,60,0.7894736842105263,0.4605263157894737,0.32894736842105265,Indentation,5,0.2,2.474977690523225,5,0,0,0,0,0,5,1,0,4,2,0,2,0,1,4,1
63,76,34,30,12,42,0.5526315789473685,0.39473684210526316,0.15789473684210525,Speed,6,0.5,1.699371862455506,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,6,0
64,76,28,24,24,48,0.631578947368421,0.3157894736842105,0.3157894736842105,Path_Evolution,8,0.3333333333333333,2.2295074432187945,8,3,4,0,0,0,0,1,0,8,0,0,0,0,0,0,0
65,76,39,22,15,37,0.4868421052631579,0.2894736842105263,0.19736842105263158,Path_Evolution,5,0.3333333333333333,1.8866451043051398,0,0,0,5,0,1,0,0,0,5,0,0,2,0,2,0,0
66,76,55,15,6,21,0.27631578947368424,0.19736842105263158,0.07894736842105263,Extent,4,0.6666666666666666,1.1613729979437952,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
67,76,34,20,22,42,0.5526315789473685,0.2631578947368421,0.2894736842105263,Indentation,8,0.36363636363636365,2.150737158821271,0,0,0,0,5,3,8,0,0,0,1,0,0,0,0,5,0
68,76,34,28,14,42,0.5526315789473685,0.3684210526315789,0.18421052631578946,Sampling_Gaps,5,0.35714285714285715,1.8802406398024702,0,0,4,0,1,1,3,0,0,0,0,5,0,0,0,0,0
69,76,16,36,24,60,0.7894736842105263,0.47368421052631576,0.3157894736842105,Speed,5,0.20833333333333334,2.293245119368974,0,0,5,0,0,0,5,0,5,0,0,0,2,2,0,5,0
70,76,38,19,19,38,0.5,0.25,0.25,Sampling_Gaps,6,0.3157894736842105,1.9747556877939136,0,0,0,5,0,0,6,0,2,0,0,6,0,0,0,0,0
71,76,38,32,6,38,0.5,0.42105263157894735,0.07894736842105263,Sampling_Gaps,4,0.6666666666666666,1.413437440932319,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0
72,76,3,46,27,73,0.9605263157894737,0.6052631578947368,0.35526315789473684,Speed,3,0.1111111111111111,2.2790758687033583,3,3,3,0,3,0,0,0,3,3,3,3,0,0,0,3,0
73,76,1,59,16,75,0.9868421052631579,0.7763157894736842,0.21052631578947367,Speed,2,0.125,1.4706125145968927,2,2,2,0,0,0,0,0,2,2,2,2,0,0,0,2,0
74,76,3,66,7,73,0.9605263157894737,0.868421052631579,0.09210526315789473,Sampling_Gaps,3,0.42857142857142855,0.8474040018385215,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,1
