trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration_Dynamics,count_uncommon_Curvature_Geometry,count_uncommon_Spatial_Reach_and_Route,count_uncommon_Speed_Dynamics,count_uncommon_Temporal_Sequential_Context,count_uncommon_Turning_Dynamics
43,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
44,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Curvature_Geometry,2,0.5,1.4256051990169438,2,2,0,0,0,0
45,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
46,15,10,0,5,5,0.3333333333333333,0.0,0.3333333333333333,Curvature_Geometry,5,1.0,0.9182958340544896,0,5,0,0,0,0
47,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
48,15,3,6,6,12,0.8,0.4,0.4,Turning_Dynamics,3,0.5,1.9219280948873623,0,3,0,0,0,3
49,15,10,0,5,5,0.3333333333333333,0.0,0.3333333333333333,Turning_Dynamics,5,1.0,0.9182958340544896,0,0,0,0,0,5
50,15,10,5,0,5,0.3333333333333333,0.3333333333333333,0.0,,0,0.0,0.9182958340544896,0,0,0,0,0,0
51,15,6,2,7,9,0.6,0.13333333333333333,0.4666666666666667,Acceleration_Dynamics,4,0.5714285714285714,1.889246428509158,4,0,3,0,0,0
52,15,1,11,3,14,0.9333333333333333,0.7333333333333333,0.2,Temporal_Sequential_Context,1,0.3333333333333333,1.3699740752745009,1,1,0,0,1,0
53,15,3,10,2,12,0.8,0.6666666666666666,0.13333333333333333,Temporal_Sequential_Context,1,0.5,1.3752793655393791,0,1,0,0,1,0
54,15,10,5,0,5,0.3333333333333333,0.3333333333333333,0.0,,0,0.0,0.9182958340544896,0,0,0,0,0,0
55,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Spatial_Reach_and_Route,2,0.5,1.4256051990169438,0,2,2,0,0,0
56,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
57,15,10,3,2,5,0.3333333333333333,0.2,0.13333333333333333,Curvature_Geometry,2,1.0,1.2419460322060458,0,2,0,0,0,0
58,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Speed_Dynamics,4,0.8,1.8062389286533893,1,0,0,4,0,0
59,15,10,5,0,5,0.3333333333333333,0.3333333333333333,0.0,,0,0.0,0.9182958340544896,0,0,0,0,0,0
60,15,1,7,7,14,0.9333333333333333,0.4666666666666667,0.4666666666666667,Turning_Dynamics,2,0.2857142857142857,2.196791631981637,2,0,0,1,2,2
61,15,10,3,2,5,0.3333333333333333,0.2,0.13333333333333333,Curvature_Geometry,2,1.0,1.2419460322060458,0,2,0,0,0,0
62,15,1,6,8,14,0.9333333333333333,0.4,0.5333333333333333,Turning_Dynamics,2,0.25,2.339572261986723,2,0,0,2,2,2
63,15,3,7,5,12,0.8,0.4666666666666667,0.3333333333333333,Speed_Dynamics,3,0.6,1.8294732983598407,0,0,0,3,0,2
64,15,6,3,6,9,0.6,0.2,0.4,Acceleration_Dynamics,4,0.6666666666666666,1.889246428509158,4,2,0,0,0,0
65,15,15,0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
66,15,10,4,1,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,Curvature_Geometry,1,1.0,1.158938532350277,0,1,0,0,0,0
67,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Turning_Dynamics,4,0.8,1.8062389286533893,0,0,0,1,0,4
68,15,10,3,2,5,0.3333333333333333,0.2,0.13333333333333333,Turning_Dynamics,2,1.0,1.2419460322060458,0,0,0,0,0,2
