meta_pattern_id,trajectory_id,required_uncommon_counts,observed_uncommon_counts
MP00001,1249,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1259,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1260,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1332,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1338,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=1
MP00001,1357,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1405,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=4
MP00001,1413,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1416,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=3
MP00001,1437,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=4
MP00001,1460,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1480,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=3
MP00001,1483,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1500,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=1
MP00001,1504,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=1
MP00001,1508,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=3
MP00001,1527,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=1
MP00001,1530,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1534,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=3;Turning_Dynamics=1
MP00001,1547,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=2
MP00001,1549,Curvature_Geometry>=2;Turning_Dynamics>=1,Curvature_Geometry=2;Turning_Dynamics=1
MP00002,44,Acceleration_Dynamics>=1;Curvature_Geometry>=2,Acceleration_Dynamics=2;Curvature_Geometry=2
MP00002,64,Acceleration_Dynamics>=1;Curvature_Geometry>=2,Acceleration_Dynamics=4;Curvature_Geometry=2
MP00002,97,Acceleration_Dynamics>=1;Curvature_Geometry>=2,Acceleration_Dynamics=1;Curvature_Geometry=2
MP00002,111,Acceleration_Dynamics>=1;Curvature_Geometry>=2,Acceleration_Dynamics=2;Curvature_Geometry=2
