rule_id,feature,feature_role,feature_nodes,n_counterexample_pairs,mean_positive_value,mean_counterexample_value,mean_raw_difference,mean_absolute_robust_standardized_difference
R00001,acceleration_mean,antecedent_and_target,Kinematic;Acceleration,30,4.768243056158259e-05,2.543552838735365e-07,4.742807527770907e-05,24.682355600094972
R00001,sampling_gap_mean_seconds,antecedent,Sampling_Gaps,30,20999.541818181813,20596.05454545455,403.48727272727166,14.460127591705149
R00001,speed_meanse,antecedent,Kinematic,30,1.9164954550722468,0.19436016623091332,1.7221352888413333,8.84950957126989
R00001,speed_sd,antecedent,Kinematic,30,14.213110694432514,1.4414135707533613,12.771697123679152,8.84950957126989
R00001,speed_quant_max,antecedent,Kinematic,30,83.62245209418458,7.153899148336163,76.46855294584842,8.456911236791285
R00001,speed_range,antecedent,Kinematic,30,83.48327056013069,6.900068057984452,76.58320250214625,8.440242657073595
R00001,acceleration_quant_max,antecedent_and_target,Kinematic;Acceleration,30,0.0031131079089295475,0.00018934684936949936,0.0029237610595600483,8.342328772302128
R00001,acceleration_range,antecedent_and_target,Kinematic;Acceleration,30,0.005210429827413929,0.0004127519119385552,0.004797677915475374,6.7025225814564795
R00001,acceleration_meanse,antecedent_and_target,Kinematic;Acceleration,30,8.26931889758443e-05,1.0528196554875953e-05,7.216499242096834e-05,6.606942688173742
R00001,acceleration_sd,antecedent_and_target,Kinematic;Acceleration,30,0.0006132691029757722,7.807919536211683e-05,0.0005351899076136555,6.606942688173742
R00001,acceleration_quant_min,antecedent_and_target,Kinematic;Acceleration,30,-0.00209732191848438,-0.00022340506256905582,-0.0018739168559153243,5.370463331394354
R00001,speed_quant_95,antecedent,Kinematic,30,21.478115039394208,4.35480394167146,17.123311097722745,5.070345318566052
R00001,speed_mean,antecedent,Kinematic,30,5.04007379908676,1.8317380059698058,3.2083357931169543,3.3410848355002125
R00001,acceleration_quant_95,antecedent_and_target,Kinematic;Acceleration,30,0.0004040910048872518,0.00011137807979641994,0.00029271292509083194,3.337629519473695
R00001,acceleration_vcoef,antecedent_and_target,Kinematic;Acceleration,30,28.55563816495944,306.9690323435044,-278.413394178545,2.27643273273464
R00001,acceleration_skew,antecedent_and_target,Kinematic;Acceleration,30,0.590001757690402,-0.14873524898994156,0.7387370066803436,2.1445854989350748
R00001,speed_vcoef,antecedent,Kinematic,30,1.7332072006024961,0.7869103365523125,0.9462968640501843,2.1023271103479515
R00001,acceleration_quant_05,antecedent_and_target,Kinematic;Acceleration,30,-0.00022946250983919256,-0.00012302231331538723,-0.00010644019652380528,1.7878677537469339
R00001,acceleration_kurt,antecedent_and_target,Kinematic;Acceleration,30,8.80762769004038,0.5158623719069052,8.291765318133477,1.3673740146600375
R00001,speed_quant_min,antecedent,Kinematic,30,0.13918153405388264,0.2538310903517072,-0.11464955629782453,1.3582306348205757
R00001,speed_quant_90,antecedent,Kinematic,30,5.305853719781924,3.260089775144616,2.0457639446373093,1.33627023178331
R00001,acceleration_quant_median,antecedent_and_target,Kinematic;Acceleration,30,-4.1751889704701733e-07,2.440382697949414e-06,-2.8579015949964303e-06,1.1986718871873905
R00001,speed_kurt,antecedent,Kinematic,30,10.260350411188979,2.9902849747554776,7.270065436433502,1.0579646219816146
R00001,sampling_gap_cv,antecedent,Sampling_Gaps,30,2.1621500061183437e-11,2.417597822936327e-11,-2.5544781681798417e-12,1.0141560119567714
R00001,sampling_gap_sd_seconds,antecedent,Sampling_Gaps,30,4.544952520190851e-07,4.979297663016878e-07,-4.3434514282602606e-08,0.985819901111573
R00001,speed_skew,antecedent,Kinematic,30,2.7882262011970074,1.553612877084221,1.234613324112786,0.9188096501508807
R00001,distance_geometry_3_2,antecedent,Geometric,30,0.11345684755257539,0.006488898539987564,0.10696794901258781,0.8394700186033688
