trajectory_id,raw_lof,lof_percentile_score,n_features_used,n_neighbors
1,1.596160029409016,0.8896774193548387,100,20
2,1.0769936264573767,0.37290322580645163,100,20
3,1.3291595458861323,0.7845161290322581,100,20
4,1.3801857813533829,0.8135483870967742,100,20
5,1.203171507798217,0.6638709677419354,100,20
6,1.3739897549055704,0.8103225806451613,100,20
7,1.002983026948177,0.09290322580645162,100,20
8,1.0069018743952582,0.10903225806451614,100,20
9,1.1258318635575741,0.5109677419354839,100,20
10,1.0243559017377613,0.17806451612903226,100,20
11,1.0631841406381792,0.32,100,20
12,1.0528806187124862,0.2793548387096774,100,20
13,1.2220064198722465,0.6787096774193548,100,20
14,1.1548331788855897,0.5787096774193549,100,20
15,1.0778925061810152,0.37483870967741933,100,20
16,1.32229658146647,0.78,100,20
17,1.2690214565388307,0.7367741935483871,100,20
18,1.2261770066898894,0.6870967741935484,100,20
19,1.3443949755559512,0.7974193548387096,100,20
20,1.0424288563027369,0.2432258064516129,100,20
21,1.1656580774164422,0.6051612903225806,100,20
22,1.129379718266512,0.5180645161290323,100,20
23,1.0128600156944692,0.1329032258064516,100,20
24,1.4360202459269602,0.8335483870967741,100,20
25,2.1235741152216896,0.9606451612903226,100,20
26,1.330592662548818,0.7864516129032258,100,20
27,1.1520646345110468,0.5709677419354838,100,20
28,1.1814280556535306,0.6335483870967742,100,20
29,1.4501204953106765,0.8380645161290322,100,20
30,1.3221796465778488,0.7793548387096774,100,20
31,1.1011916312300438,0.44387096774193546,100,20
32,1.2497459414636176,0.7187096774193549,100,20
33,1.5316887075660863,0.864516129032258,100,20
34,0.9909118457704169,0.04258064516129032,100,20
35,1.0602206202428917,0.30774193548387097,100,20
36,1.1426117831421179,0.552258064516129,100,20
37,1.0830713722134435,0.39161290322580644,100,20
38,1.1080785955875327,0.46,100,20
39,1.028140568679988,0.1929032258064516,100,20
40,1.1133646122963103,0.47677419354838707,100,20
41,1.0570383851543999,0.2967741935483871,100,20
42,1.0914914499798196,0.42,100,20
43,1.4291288191169302,0.8316129032258065,100,20
44,1.1164062163489494,0.48838709677419356,100,20
45,1.2177801066401532,0.675483870967742,100,20
46,1.0020691543395224,0.08838709677419355,100,20
