rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00011,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,2688,332,33,0.012276785714285714,0.09939759036144578,35,0.013020833333333334,0.9428571428571428,0.12351190476190477,7.6337349397590355,117.09036144578313,finite,0.010668557787698412
R00012,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Spatial_Reach_and_Route,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,2,2688,294,30,0.011160714285714286,0.10204081632653061,32,0.011904761904761904,0.9375,0.109375,8.571428571428571,122.14285714285715,finite,0.009858630952380952
R00013,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Curvature_Geometry__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Curvature_Geometry__x__Turning_Dynamics=Uncommon Turning_Dynamics;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,2688,319,30,0.011160714285714286,0.09404388714733543,32,0.011904761904761904,0.9375,0.11867559523809523,7.899686520376176,111.39498432601881,finite,0.009747909580498867
R00014,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,Curvature_Geometry__x__Speed_Dynamics,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,2688,329,45,0.016741071428571428,0.13677811550151975,48,0.017857142857142856,0.9375,0.12239583333333333,7.659574468085107,107.55319148936168,finite,0.014555431547619048
R00015,Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Speed_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,2688,301,44,0.01636904761904762,0.1461794019933555,47,0.017485119047619048,0.9361702127659575,0.11197916666666667,8.36021771400297,116.31007751937986,finite,0.014411078559027778
R00016,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,2688,254,27,0.010044642857142858,0.1062992125984252,29,0.010788690476190476,0.9310344827586207,0.09449404761904762,9.852837360847136,129.36614173228347,finite,0.009025175825538549
R00017,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Curvature_Geometry__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,2688,319,27,0.010044642857142858,0.08463949843260188,29,0.010788690476190476,0.9310344827586207,0.11867559523809523,7.845205923683926,100.25548589341693,finite,0.008764288593041384
R00018,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry,Curvature_Geometry__x__Spatial_Reach_and_Route,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,2688,321,27,0.010044642857142858,0.08411214953271028,29,0.010788690476190476,0.9310344827586207,0.11941964285714286,7.796326135997421,99.54672897196261,finite,0.008756261293579932
R00019,Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics,Curvature_Geometry__x__Speed_Dynamics,Uncommon Speed_Dynamics,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,2,2688,339,27,0.010044642857142858,0.07964601769911504,29,0.010788690476190476,0.9310344827586207,0.12611607142857142,7.382361916386939,93.54424778761062,finite,0.008684015598426872
R00020,Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,Curvature_Geometry__x__Turning_Dynamics,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,2,2688,310,26,0.009672619047619048,0.08387096774193549,28,0.010416666666666666,0.9285714285714286,0.11532738095238096,8.051612903225806,99.7225806451613,finite,0.008471292162698412
