trajectory_id,raw_lof,lof_percentile_score,n_features_used,n_neighbors
1,1.0004492861694592,0.030145143282471157,103,20
2,1.0229174622877053,0.07666542612579084,103,20
3,1.2439006603376195,0.7446966877558615,103,20
4,1.0700792806128763,0.22106438407145515,103,20
5,1.1728835498185755,0.563453665798288,103,20
6,1.240934918053741,0.7383699292891701,103,20
7,1.0600307697255509,0.18533680684778564,103,20
8,1.0380912961683908,0.11871976181615185,103,20
9,1.4596301789499841,0.9449199851135095,103,20
10,1.3283338203597865,0.8619278005210271,103,20
11,1.0719333639747675,0.22627465574990696,103,20
12,1.2675030775861345,0.7852623743952363,103,20
13,0.9857340525793757,0.011164867882396725,103,20
14,1.310215307762278,0.838481577967994,103,20
15,1.2797847682562706,0.8031261630070711,103,20
16,1.2253960701247149,0.7108299218459249,103,20
17,1.5423964185500512,0.9698548567175288,103,20
18,1.046806325003081,0.1462597692593971,103,20
19,0.9941550387230229,0.021213248976553776,103,20
20,1.0795236084587494,0.2515816896166729,103,20
21,1.0834969474735492,0.2679568291775214,103,20
22,1.039141616812272,0.12132489765537774,103,20
23,1.1529285302676615,0.5053963528098251,103,20
24,1.2077916278686485,0.6650539635280982,103,20
25,1.2573485983165447,0.767026423520655,103,20
26,1.324823547406926,0.8567175288425753,103,20
27,1.392352456494909,0.9106810569408262,103,20
28,1.0426750186392382,0.13286192780052103,103,20
29,1.080393265790643,0.2564197990323781,103,20
30,1.0896803517784703,0.2917752139933011,103,20
31,1.2141412985516333,0.6832899144026796,103,20
32,1.1519392186915192,0.502046892445106,103,20
33,1.0467202489923744,0.145515444733904,103,20
34,1.234219459592427,0.7264607368812802,103,20
35,1.071904988639607,0.2259024934871604,103,20
36,1.2193531103847766,0.6951991068105694,103,20
37,1.374829826747766,0.8983997022701898,103,20
38,1.2501072091487357,0.7506512839598065,103,20
39,1.0703200734642002,0.22329735764793449,103,20
40,1.1445810257226356,0.472646073688128,103,20
41,1.3755553143661614,0.8987718645329363,103,20
42,1.154337612582281,0.5117231112765166,103,20
43,1.2642629567352341,0.7781912914030518,103,20
44,1.1019232642470318,0.3319687383699293,103,20
45,1.2246220188858268,0.7093412727949386,103,20
46,1.2220729882622625,0.7033866765909936,103,20
47,1.077187056574693,0.24413844436174173,103,20
48,0.987692084052209,0.014142165984369185,103,20
49,1.0724638091315897,0.22739114253814663,103,20
50,1.0642200849061276,0.2013397841458876,103,20
51,1.3459173669345215,0.8775586155563826,103,20
52,1.048722671131359,0.15109787867510235,103,20
53,1.212904557974541,0.6791961295124674,103,20
54,1.1218108319858158,0.3967249720878303,103,20
55,1.1009294811762524,0.3275027912169706,103,20
56,1.0476503246777358,0.14998139188686266,103,20
57,1.2436870048010915,0.7439523632303684,103,20
58,1.1695594445334625,0.5563825828061034,103,20
59,1.1695892634690321,0.55675474506885,103,20
60,1.204223272738635,0.6505396352809825,103,20
61,4.351285086918038,0.9929289170078154,103,20
62,1.0377916877674962,0.11834759955340529,103,20
63,1.1070937554091014,0.35206550055824337,103,20
64,1.3607504008175995,0.8876069966505397,103,20
65,1.034803820930672,0.10904354298474135,103,20
66,1.0721169483711235,0.22664681801265352,103,20
67,1.1085668026358233,0.355787123185709,103,20
68,1.2183007647130446,0.6911053219203572,103,20
69,1.303346630018843,0.8295496836620767,103,20
70,1.0816061166401263,0.26088574618533683,103,20
71,1.0051918492281993,0.03982136211388165,103,20
72,1.092330231861073,0.3021957573502047,103,20
73,1.0631676755772634,0.19650167473018235,103,20
74,1.2213430553245896,0.702270189802754,103,20
75,1.157573892430522,0.5191663565314477,103,20
76,1.2630104296511473,0.7767026423520655,103,20
77,1.1853004067947595,0.5999255675474506,103,20
78,1.510471228837801,0.9635280982508374,103,20
79,1.2131578303148285,0.6810569408262003,103,20
80,1.3668624993932925,0.8928172683289914,103,20
81,1.7268953782784862,0.9847413472273912,103,20
82,1.2935929998669473,0.821734276144399,103,20
83,1.3905224155888736,0.90919240788984,103,20
84,1.1070491653389276,0.35132117603275026,103,20
85,1.2833641521967838,0.8075921101600297,103,20
86,1.0799840219317751,0.2545589877186453,103,20
