meta_pattern_id,contrast_group,contrast_group_label,selection_reason,node_id,feature,n_trajectories,mean_value,median_value,std_value,q25_value,q75_value,mean_robust_standardized_value,median_robust_standardized_value
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_1_1,69,0.017515617141905245,0.0037313937397887415,0.04591415108380396,0.001560507358895817,0.010546849842767027,3.8322047529453442,0.3917133869605746
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_2_1,69,0.08582122886786711,0.06141896855487624,0.08007209794058226,0.02314982164590458,0.12033036991176357,0.7103998754247407,0.3423311830517144
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_2_2,69,0.0842304843527231,0.05620691912057435,0.0860759494673844,0.029329508305454076,0.10636830728084605,0.6589845040465706,0.23446653778630772
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_3_1,69,0.09779440683159477,0.0656099330780895,0.09428115221048528,0.03125977445672075,0.12672872274806563,0.49719317883412084,0.11093242103298998
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_3_2,69,0.15198145648929026,0.1194382214646272,0.13644072944458346,0.043981675480720184,0.21220333448719378,0.3170438471643586,0.061648933419187514
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_3_3,69,0.13983653428373594,0.10305467302058698,0.14356604852258983,0.0374932050047811,0.18034697268663824,0.7299960725586205,0.3572992728218042
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_4_1,69,0.15030688607546133,0.11898449471385093,0.1350377911331808,0.04694109574864037,0.21883729777468544,0.5290981605983506,0.2769703923173198
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_4_2,69,0.21528126509080137,0.18494789159526337,0.1635687620553337,0.09111008034509727,0.3236301680567432,0.46225762269814125,0.27151111575667836
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_4_3,69,0.15711830668162188,0.12185338705771342,0.11378095428356737,0.0697405908390566,0.22600963396579174,0.4149529515714952,0.14625721331858746
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_4_4,69,0.08333303873739342,0.02639944020242515,0.1486834849678694,0.00936946550198585,0.06822046980085683,2.0197143867410414,0.35288746026048246
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_5_1,69,0.21570181291710067,0.15061969038618303,0.20244694677674577,0.06135770435317694,0.27870636291246725,0.44129248118065645,0.08447033350190243
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_5_2,69,0.24923167081310432,0.18312917495356298,0.22285984690584762,0.08317020499754445,0.32385409424991746,0.39856271685941647,0.052300910075402524
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_5_3,69,0.2346614213289912,0.19846578670139442,0.17493242553257093,0.10338539875210848,0.3644715880709874,0.5342043749289961,0.3203040271884767
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_5_4,69,0.24535151067416958,0.20266602773523584,0.18650023590106715,0.11583322595001024,0.3274314973458153,0.3892886800881966,0.16610389045536986
MP00001,covered,Target group,satisfies_required_uncommon_counts,Curvature_Geometry,distance_geometry_5_5,69,0.24788005995367324,0.2001245473914446,0.187694147081077,0.0915044891440284,0.3613909793265354,0.7146934119908949,0.43655032509692143
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_0s,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_iqr,69,114.05006586657602,119.88649520938,26.63620544808341,98.57959547470227,134.43688758692772,-0.4997331190319719,-0.269092166632165
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_kurt,69,-1.2103871696300248,-1.4105646043000424,0.6284712210172585,-1.5644803231749513,-1.1103663255471563,0.8014463266488522,0.0731145856686736
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_mad,69,39.54864407446755,39.6992685489991,15.569615800600312,28.78734282589607,50.479115627444244,-0.11352934171884445,-0.10469623278089674
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_mean,69,69.48653273050449,71.22418330457528,11.064592207765847,66.50903990200507,76.18379153455388,-0.36438803276405707,-0.13677292193736246
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_meanse,69,8.455891287411525,8.529850458591206,0.7745517256824984,8.060788385298308,8.877648552055165,-0.37189119846169444,-0.2902431468294565
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_05,69,2.782853391174302,2.5906865094582647,1.954148081368469,1.4539593385713652,3.4775874949918095,0.416295058740187,0.31877024619874034
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_10,69,4.875330305751897,4.510254262174915,2.803845238377548,2.771186190493372,6.382477900984864,0.3640540602182908,0.24236870909626684
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_25,69,13.683221962577674,11.955545114720392,6.559426704490949,9.581342191091307,19.00998562441898,0.28993876579613725,0.04753481596746935
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_75,69,127.73328782915367,135.33634591115185,27.65965391024507,114.01207964370876,146.0200030157294,-0.5639008418176203,-0.20941316139092078
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_90,69,162.04018409922946,164.6160992627946,12.64798886722202,160.10969758320658,169.1835754075797,-0.8396309067405178,-0.5188003747224432
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_95,69,171.2208108423939,173.0272548280685,6.871092805190467,168.593843030601,175.21948018714784,-0.7414893502769089,-0.3400347485583199
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_max,69,177.61823640681732,178.4506038137661,2.8492300613235115,176.9917670550251,179.33039072079157,-0.8460319693727217,-0.35408240860437123
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_median,69,47.13614789216031,44.853496382434145,19.776042818249067,32.73130915211717,61.92154193072996,0.013110880097290762,-0.09343349922247109
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_quant_min,69,0.7599186231188241,0.3528085310857581,0.9059892763145541,0.1141379981701579,0.9834149963101516,0.5329508829155928,-0.020610413853204168
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_range,69,176.8583177836985,177.7697337826778,3.0614097347870777,175.64015757240728,178.8289867908574,-0.7265701401584737,-0.32343783499881223
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_sd,69,62.137856923812514,62.681343617380634,5.69176952194287,59.23445540560194,65.23712720487919,-0.3718911984616964,-0.2902431468294591
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_skew,69,0.5020262409976812,0.449403239239176,0.32451015548611273,0.3079304994921163,0.6081783279607159,0.3487681404533495,0.10731380527914211
MP00001,covered,Target group,satisfies_required_uncommon_counts,Turning_Dynamics,angles_vcoef,69,0.9166174796532893,0.8880338891865037,0.1612149471204951,0.8052973084071461,0.9659606947520425,0.15462856600527253,-0.07157056148167208
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,distance_geometry_1_1,69,0.008105073078530063,0.0021544242165417783,0.022183330333686788,0.0010964737256319562,0.0047791820993474355,1.4833676328004242,-0.0018923948725339825
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,distance_geometry_2_1,69,0.05920150767177805,0.0341817653005005,0.059788511864287464,0.017740310701313666,0.0846262711561361,0.3088843663567961,-0.06849804576359257
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,distance_geometry_2_2,69,0.051871194030362236,0.02934789146178426,0.051518557293273606,0.01859503421379177,0.07353774845221168,0.16878634390973052,-0.17241030686146505
