meta_pattern_id,contrast_group,contrast_group_label,selection_reason,node_id,pair_id,required_uncommon_count,n_covered,n_contrast,covered_uncommon_count,contrast_uncommon_count,covered_uncommon_ratio,contrast_uncommon_ratio,covered_to_contrast_ratio,covered_to_contrast_ratio_status
MP00004,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Turning_Dynamics,Spatial_Reach_and_Route__x__Turning_Dynamics,2,64,366,39,0,0.609375,0.0,,zero_contrast
MP00004,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Turning_Dynamics,Speed_Dynamics__x__Turning_Dynamics,2,64,366,0,0,0.0,0.0,,zero_both
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,1,57,57,41,8,0.7192982456140351,0.14035087719298245,5.125,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry,1,57,57,26,14,0.45614035087719296,0.24561403508771928,1.8571428571428572,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route,1,57,57,26,8,0.45614035087719296,0.14035087719298245,3.25,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,1,57,57,22,10,0.38596491228070173,0.17543859649122806,2.2,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context,1,57,57,0,16,0.0,0.2807017543859649,0.0,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,Temporal_Sequential_Context__x__Turning_Dynamics,2,57,57,43,9,0.7543859649122807,0.15789473684210525,4.777777777777779,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,Speed_Dynamics__x__Temporal_Sequential_Context,2,57,57,32,14,0.5614035087719298,0.24561403508771928,2.2857142857142856,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,Curvature_Geometry__x__Temporal_Sequential_Context,2,57,57,30,10,0.5263157894736842,0.17543859649122806,3.0,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,2,57,57,29,10,0.5087719298245614,0.17543859649122806,2.9000000000000004,finite
MP00005,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,Acceleration_Dynamics__x__Temporal_Sequential_Context,2,57,57,0,23,0.0,0.40350877192982454,0.0,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,1,57,242,41,69,0.7192982456140351,0.28512396694214875,2.522756165776761,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry,1,57,242,26,39,0.45614035087719296,0.16115702479338842,2.8304093567251463,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route,1,57,242,26,19,0.45614035087719296,0.07851239669421488,5.809787626962142,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,1,57,242,22,19,0.38596491228070173,0.07851239669421488,4.915974145891043,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context,1,57,242,0,0,0.0,0.0,,zero_both
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Temporal_Sequential_Context,Temporal_Sequential_Context__x__Turning_Dynamics,2,57,242,43,114,0.7543859649122807,0.47107438016528924,1.6014158202523854,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Temporal_Sequential_Context,Speed_Dynamics__x__Temporal_Sequential_Context,2,57,242,32,76,0.5614035087719298,0.3140495867768595,1.7876269621421974,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Temporal_Sequential_Context,Curvature_Geometry__x__Temporal_Sequential_Context,2,57,242,30,81,0.5263157894736842,0.3347107438016529,1.5724496426250811,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Temporal_Sequential_Context,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,2,57,242,29,69,0.5087719298245614,0.28512396694214875,1.7843885075006358,finite
MP00005,near_miss,Near miss,one_missing_uncommonness_count,Temporal_Sequential_Context,Acceleration_Dynamics__x__Temporal_Sequential_Context,2,57,242,0,79,0.0,0.32644628099173556,0.0,finite
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,1,57,366,41,0,0.7192982456140351,0.0,,zero_contrast
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry,1,57,366,26,0,0.45614035087719296,0.0,,zero_contrast
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route,1,57,366,26,0,0.45614035087719296,0.0,,zero_contrast
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,1,57,366,22,0,0.38596491228070173,0.0,,zero_contrast
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context,1,57,366,0,0,0.0,0.0,,zero_both
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Temporal_Sequential_Context,Temporal_Sequential_Context__x__Turning_Dynamics,2,57,366,43,0,0.7543859649122807,0.0,,zero_contrast
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Temporal_Sequential_Context,Speed_Dynamics__x__Temporal_Sequential_Context,2,57,366,32,0,0.5614035087719298,0.0,,zero_contrast
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Temporal_Sequential_Context,Curvature_Geometry__x__Temporal_Sequential_Context,2,57,366,30,0,0.5263157894736842,0.0,,zero_contrast
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Temporal_Sequential_Context,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,2,57,366,29,0,0.5087719298245614,0.0,,zero_contrast
MP00005,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Temporal_Sequential_Context,Acceleration_Dynamics__x__Temporal_Sequential_Context,2,57,366,0,0,0.0,0.0,,zero_both
MP00006,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,Curvature_Geometry__x__Turning_Dynamics,1,68,68,44,10,0.6470588235294118,0.14705882352941177,4.4,finite
MP00006,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,Curvature_Geometry__x__Spatial_Reach_and_Route,1,68,68,33,10,0.4852941176470588,0.14705882352941177,3.3,finite
