meta_pattern_id,contrast_group,contrast_group_label,selection_reason,node_id,feature,n_covered,n_contrast,covered_mean_value,contrast_mean_value,covered_median_value,contrast_median_value,covered_minus_contrast_mean_value,covered_minus_contrast_median_value,covered_mean_robust_standardized_value,contrast_mean_robust_standardized_value,covered_median_robust_standardized_value,contrast_median_robust_standardized_value,covered_minus_contrast_mean_robust_standardized_value,absolute_covered_minus_contrast_mean_robust_standardized_value,covered_minus_contrast_median_robust_standardized_value,absolute_covered_minus_contrast_median_robust_standardized_value,median_difference_direction
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_quant_90,69,69,162.04018409922946,167.68105514809398,164.6160992627946,168.79227100784098,-5.640871048864511,-4.176171745046389,-0.8396309067405178,-0.13705976416150828,-0.5188003747224432,0.0013422998941023873,-0.7025711425790095,0.7025711425790095,-0.5201426746165456,0.5201426746165456,lower_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,distance_geometry_3_3,69,69,0.13983653428373594,0.09169780714943293,0.10305467302058698,0.05401871623259107,0.048138727134303005,0.0490359567879959,0.7299960725586205,0.24222441201099437,0.3572992728218042,-0.13956367916884987,0.48777166054762616,0.48777166054762616,0.49686295199065406,0.49686295199065406,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,distance_geometry_5_5,69,69,0.24788005995367324,0.15805715533336068,0.2001245473914446,0.12335184420796648,0.08982290462031256,0.07677270318347813,0.7146934119908949,0.19153663648102356,0.43655032509692143,-0.010597983170568044,0.5231567755098713,0.5231567755098713,0.44714830826748947,0.44714830826748947,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_quant_05,69,69,2.782853391174302,2.0954990468336048,2.5906865094582647,1.7576902929775688,0.6873543443406973,0.8329962164806959,0.416295058740187,0.06746229951151339,0.31877024619874034,-0.10397585414157877,0.34883275922867363,0.34883275922867363,0.4227461003403191,0.4227461003403191,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,distance_geometry_2_1,69,69,0.08582122886786711,0.05920150767177805,0.06141896855487624,0.0341817653005005,0.02661972119608906,0.027237203254375737,0.7103998754247407,0.3088843663567961,0.3423311830517144,-0.06849804576359257,0.4015155090679446,0.4015155090679446,0.410829228815307,0.410829228815307,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,distance_geometry_2_2,69,69,0.0842304843527231,0.051871194030362236,0.05620691912057435,0.02934789146178426,0.03235929032236086,0.02685902765879009,0.6589845040465706,0.16878634390973052,0.23446653778630772,-0.17241030686146505,0.4901981601368401,0.4901981601368401,0.40687684464777274,0.40687684464777274,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Curvature_Geometry,distance_geometry_1_1,69,69,0.017515617141905245,0.008105073078530063,0.0037313937397887415,0.0021544242165417783,0.009410544063375182,0.0015769695232469632,3.8322047529453442,1.4833676328004242,0.3917133869605746,-0.0018923948725339825,2.3488371201449203,2.3488371201449203,0.3936057818331086,0.3936057818331086,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_range,69,69,176.8583177836985,177.9753977909276,177.7697337826778,178.5885531254401,-1.1170800072290774,-0.8188193427622821,-0.7265701401584737,-0.2324697086690566,-0.32343783499881223,0.03873764746665539,-0.49410043148941707,0.49410043148941707,-0.3621754824654676,0.3621754824654676,lower_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_quant_max,69,69,177.61823640681732,178.5721362296985,178.4506038137661,179.04477239813886,-0.9538998228811693,-0.5941685843727669,-0.8460319693727217,-0.2822537688259067,-0.35408240860437123,-0.0029141965091512905,-0.563778200546815,0.563778200546815,-0.3511682120952199,0.3511682120952199,lower_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_quant_95,69,69,171.2208108423939,174.15011964731403,173.0272548280685,174.57920953863743,-2.92930880492014,-1.5519547105689355,-0.7414893502769089,-0.0904951822231436,-0.3400347485583199,0.004863496367918564,-0.6509941680537653,0.6509941680537653,-0.34489824492623844,0.34489824492623844,lower_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_sd,69,69,62.137856923812514,64.5522933670319,62.681343617380634,64.77133248791762,-2.4144364432193797,-2.0899888705369847,-0.3718911984616964,-0.009170208763677546,-0.2902431468294591,0.023736056768131092,-0.36272098969801886,0.36272098969801886,-0.31397920359759024,0.31397920359759024,lower_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_meanse,69,69,8.455891287411525,8.784454470870847,8.529850458591206,8.814261919752946,-0.32856318345932145,-0.2844114611617403,-0.37189119846169444,-0.00917020876367674,-0.2902431468294565,0.023736056768131623,-0.3627209896980177,0.3627209896980177,-0.31397920359758813,0.31397920359758813,lower_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_quant_10,69,69,4.875330305751897,3.9002190198915168,4.510254262174915,3.6861908077745498,0.9751112858603799,0.8240634544003655,0.3640540602182908,0.039034762758011904,0.24236870909626684,-0.03230406815045974,0.3250192974602789,0.3250192974602789,0.27467277724672656,0.27467277724672656,higher_in_covered
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Turning_Dynamics,angles_iqr,69,69,114.05006586657602,124.06821167630419,119.88649520938,126.5069780523068,-10.018145809728168,-6.620482842926805,-0.4997331190319719,-0.1038412894350491,-0.269092166632165,-0.007467399406656891,-0.39589182959692276,0.39589182959692276,-0.2616247672255081,0.2616247672255081,lower_in_covered
