trajectory_id,object_id,distance_geometry_1_1,distance_geometry_2_1,distance_geometry_2_2,distance_geometry_3_1,distance_geometry_3_2,distance_geometry_3_3,distance_geometry_4_1,distance_geometry_4_2,distance_geometry_4_3,distance_geometry_4_4,distance_geometry_5_1,distance_geometry_5_2,distance_geometry_5_3,distance_geometry_5_4,distance_geometry_5_5,angles_0s,angles_mean,angles_meanse,angles_quant_min,angles_quant_05,angles_quant_10,angles_quant_25,angles_quant_median,angles_quant_75,angles_quant_90,angles_quant_95,angles_quant_max,angles_range,angles_sd,angles_vcoef,angles_mad,angles_iqr,angles_skew,angles_kurt,speed_0s,speed_mean,speed_meanse,speed_quant_min,speed_quant_05,speed_quant_10,speed_quant_25,speed_quant_median,speed_quant_75,speed_quant_90,speed_quant_95,speed_quant_max,speed_range,speed_sd,speed_vcoef,speed_mad,speed_iqr,speed_skew,speed_kurt,acceleration_0s,acceleration_mean,acceleration_meanse,acceleration_quant_min,acceleration_quant_05,acceleration_quant_10,acceleration_quant_25,acceleration_quant_median,acceleration_quant_75,acceleration_quant_90,acceleration_quant_95,acceleration_quant_max,acceleration_range,acceleration_sd,acceleration_vcoef,acceleration_mad,acceleration_iqr,acceleration_skew,acceleration_kurt,point_count,duration_total_seconds,sampling_gap_mean_seconds,sampling_gap_sd_seconds,sampling_gap_iqr_seconds,sampling_gap_cv,speed_mean_first_half,speed_mean_second_half,speed_mean_half_diff,acceleration_mean_first_half,acceleration_mean_second_half,acceleration_mean_half_diff,bbox_lat_span_deg,bbox_lon_span_deg,bbox_height_m,bbox_width_m,bbox_diagonal_m,bbox_area_km2,path_length_m,net_displacement_m,directness_ratio,mean_distance_to_centroid_m,median_distance_to_centroid_m,max_distance_to_centroid_m,radius_of_gyration_m,speed_progress_slope,acceleration_progress_slope,angle_progress_slope,relative_grid_unique_cells_3x3,relative_grid_entropy_3x3,relative_transition_entropy_3x3,relative_grid_revisit_ratio_3x3
1,116,0.001657142646554924,0.06301945315112482,0.0718506276615669,0.010768234983058275,0.015806719613557327,0.02526979707947309,0.008172014258826004,0.0767232710005831,0.1475184128522802,0.022236200838487024,0.1269981084818597,0.017800773107553673,0.2542517153555313,0.4892887890977693,0.25633512638060096,0,82.73655218147094,7.9522114123093965,0.07408120830925433,8.89286173765015,12.956753359814336,27.00215943711139,74.75917816044765,139.42364900998362,161.55985785956221,166.32266137016038,179.9770754499367,179.90299424162745,58.436580860685595,0.7062970273708434,56.24276089479915,112.42148957287223,0.1255351299473787,-1.5370807391820596,0,1.257744352363862,0.16076091010393093,0.021608794832698536,0.20622178817751693,0.339206780529814,0.5036537569974382,0.9295130481133304,1.540936530019421,2.3821648347885094,3.246550955899716,6.8636867202179985,6.8420779253853,1.1922348182968945,0.9479150640240634,0.44632723521551654,1.037282773021983,2.545230533281906,8.143233132836713,0,1.0352013487959466e-06,9.4107462800774e-06,-0.00024688599441391695,-0.00011129952818658851,-6.462371434353836e-05,-2.0311894467467212e-05,6.421288193095058e-06,3.1191907814521506e-05,6.917100436289971e-05,8.668273637942019e-05,0.0002613398783920578,0.0005082258728059748,6.979196232475116e-05,67.41873202341449,2.5992759536913315e-05,5.150380228198872e-05,-0.21496256840328357,4.7141289276285026,56,1156155.0,21021.0,0.0,0.0,0.0,1.3160975354550537,1.154471728116818,-0.16162580733823573,3.9937065742609885e-06,-1.9602753534118087e-06,-5.953981927672797e-06,2.027883083297354,2.521960224302404,225490.31069099094,82083.49787921105,239315.94338470636,18509.033439386596,1454147.4217072409,2409.7297068892467,0.0016571426465551238,29841.74348863698,19365.861148876553,161158.96165668225,42237.864079533334,0.41093635602922335,-6.271140735494876e-06,-32.14216411590456,7,2.290907556297865,3.9324399958571865,0.875
2,116,0.0008557882033111453,0.011121777275862157,0.012001436978422058,0.012940196630892098,0.06819518456321169,0.0435067808992127,0.16071057556205634,0.33519258493407506,0.03011684259343483,0.0031224817510893373,0.33907376725017857,0.20724468262800994,0.400109927176039,0.26228425091346114,0.2717479357576717,0,75.37109162371779,9.30526678939499,0.41247891341900095,1.6238335758883236,2.557336891393033,10.640652391224013,43.698615581849715,155.70733871279614,170.65822701978684,176.5951007714057,178.93744824361664,178.52496933019765,68.37946666345195,0.9072373132769419,42.06223751458614,145.06668632157212,0.3369926521189558,-1.5837028903970631,0,1.6676125635176908,0.1730725019258529,0.16191092248018193,0.2783694193844084,0.33931717327276245,0.617459718701911,1.3432291641437384,2.408720986945225,3.3344633423242396,3.962119089631182,5.614841342340224,5.452930419860042,1.2835400269403716,0.7696871893510145,0.7888425768895029,1.7912612682433138,1.2505917107993412,1.4284367903782522,0,2.5460409848555264e-06,9.97019128173483e-06,-0.00018644957033417482,-0.00012727666851253787,-8.391928888626161e-05,-3.052420285171944e-05,4.483253330616902e-06,3.74691761425851e-05,7.700706441261004e-05,9.700379912930436e-05,0.00021942271392868458,0.0004058722842628594,7.394091749965622e-05,29.041526801600938,3.467548757720217e-05,6.799337899430454e-05,0.07876953660153922,1.4429116566110478,56,1136605.0,20665.545454545456,4.979297663028959e-07,1.0000003385357559e-06,2.409468297839555e-11,1.7912015251042026,1.4859536312376551,-0.3052478938665475,-3.428529505791861e-07,4.793322332623627e-06,5.136175283202813e-06,1.7514380690267188,6.084963916368707,194751.02760791348,199493.04242627416,277042.494559798,38851.47501314597,1898537.4492436964,1622.0753187200216,0.0008543815237177405,37493.466433634574,21918.04588804804,154532.42270717275,49919.27238861775,-0.19116474111212978,3.291752250244115e-07,9.808661451608707,6,1.9442304019833792,3.3930309615770637,0.8928571428571429
3,116,0.010104437052150183,0.07915028479007036,0.04618432442629142,0.08773043273762154,0.35460909863633705,0.2072680760566825,0.2651367156103452,0.42932299423006165,0.09990455294952534,0.05082326837421436,0.09333801163703491,0.08025472997524657,0.09084346856685988,0.05208844468090518,0.03728873295978399,0,70.81554385090122,7.569910149173699,0.7829272458197146,1.7769817279633475,6.568305037178792,16.751645477239133,64.41214200098803,119.71279606746333,158.92656623938885,164.27841222754387,169.44548123544632,168.66255398962662,55.627251792573766,0.7855231883792958,52.13556678958432,102.9611505902242,0.3481336220345691,-1.2323879148006227,0,1.5809899314004827,0.1705680565325682,0.22997558951430794,0.28301690209651215,0.4250923764405965,0.6046766961464848,1.263287947046381,1.9777805219317046,3.022953161200231,4.569938996623745,6.270040419690374,6.040064830176066,1.26496656280368,0.8001104483209068,0.6968645899031183,1.3731038257852197,1.6851034759840093,2.9794089232957655,0,5.10133807222936e-07,1.1045713554271758e-05,-0.0002535393893788951,-0.00011464106255783119,-0.00010366138275211262,-3.76071399460924e-05,4.122674351802847e-06,3.8400187906651425e-05,8.286191302153781e-05,0.00013473910249254043,0.00019259915319596669,0.0004461385425748618,8.191720415008226e-05,160.57983805469146,3.830465022701767e-05,7.600732785274382e-05,-0.48519187246281703,1.6584784362733878,56,1135188.0,20639.78181818182,3.856947384919178e-07,0.0,1.8686958122403936e-11,1.3142859570392649,1.7915299986854176,0.47724404164615275,1.96240432938272e-06,-2.375188153358082e-06,-4.3375924827408026e-06,1.3433940834495388,6.7220410584970125,149378.6065639058,220728.1126926607,267093.7193600633,32972.05790351043,1795341.4968326928,18134.643331908257,0.010100943672221162,36488.568795258754,22798.21139371273,140843.4578418398,48954.06944387453,0.8256970096223227,-8.652303389457103e-06,-9.500556839974216,8,1.9022448318468184,3.181972074000443,0.8571428571428572
4,118,0.0020461952226315397,0.02855684892397518,0.025673320834950997,0.065313992711467,0.040368966196404774,0.045906990311442665,0.00589177863967531,0.06250305857866453,0.05509274866597709,0.008714768189848404,0.462214753327413,0.4333829998128236,0.2987306014213578,0.4830925891808979,0.2165717841494051,0,77.01069315808303,9.47762525183054,1.6102464959996794,3.9697392015594035,4.706629813135818,10.158515436005658,61.88489179111802,161.1084939914956,173.4260326529867,176.97173775475275,178.27872797058865,176.66848147458896,69.64603752090524,0.9043684021638391,55.967724954083074,150.94997855548996,0.3415285077223077,-1.5798715179636806,0,1.0442143095824106,0.12248206631959646,0.03657020160569837,0.06788911583219161,0.12267438762110167,0.43571809595621974,0.7918185173779174,1.3156223059322718,2.2309842612907897,2.7235340671834196,4.436600072058417,4.400029870452719,0.908351314935742,0.8698897406405001,0.4910454306127666,0.8799042099760521,1.5888869465241862,2.7306030585595416,0,2.6104656745638555e-07,8.110005722199668e-06,-0.00021225849653330034,-0.00010050745903678297,-5.129291009300656e-05,-1.9803983774735784e-05,-2.1072357094427599e-07,2.2390212491373944e-05,5.055816887226494e-05,9.326857876153981e-05,0.00017753050566639988,0.00038978900219970025,6.014541216731435e-05,230.40108419492307,2.0085337311393445e-05,4.2194196266109724e-05,-0.34027833361136606,3.0565057738627948,56,1140127.0,20729.581818181818,3.856947384919178e-07,0.0,1.860600671421296e-11,0.9044245549174112,1.1467106960480382,0.24228614113062696,2.2706191452986077e-06,-1.7578491020807093e-06,-4.028468247379317e-06,1.527699046654348,3.9663976487036905,169872.38342769307,129171.39509434318,213556.4416444245,21942.652755356296,1190536.928130823,2436.0709747085425,0.002046195222632232,22307.54544495558,11196.601206314172,105588.52735938143,33979.03077668419,0.22842123135078712,-8.877190563124825e-06,11.94117262653955,6,1.449526649660735,2.4221799407580513,0.8928571428571429
5,118,0.003054959592763995,0.06357850070856434,0.056122347720921485,0.015907679185877162,0.09704414579715502,0.10787315237545067,0.10901064231186264,0.08593981079664134,0.0886822171389743,0.020088770025375263,0.17314505781236172,0.18483375288599832,0.13578261434339606,0.18468867429614433,0.34009341261054576,0,79.88762821502486,7.713694214309917,3.072753226866848,8.453732033748325,11.426506900595651,20.464524258156075,65.2596817941571,127.1115250572359,161.2065311597334,167.67140642388944,172.06297603346968,168.99022280660284,56.68384457075426,0.7095447172143414,50.08640764310811,106.64700079907982,0.21601928193434955,-1.3900317188444578,0,0.9595212215756324,0.09214610126851691,0.13376820194673855,0.17021254847540435,0.2632598784090842,0.39581648558611593,0.8078035514859822,1.2737888457651887,1.8724968733824405,2.2486015050501313,3.5398673240092027,3.4060991220624643,0.6833737768193389,0.7122028793664084,0.41889057881181213,0.8779723601790728,1.3190738086029747,2.105315946397882,0,3.4414588893337163e-07,5.9495166158089006e-06,-0.0001585707877421061,-6.573144866544893e-05,-4.685719209442925e-05,-1.0164572941476429e-05,3.0700702580023246e-06,1.640447252541137e-05,2.999415629799028e-05,5.6748303278132316e-05,0.00016489679107875826,0.00032346757882086437,4.412279612511248e-05,128.20956909252772,1.5089893969280068e-05,2.65690454668878e-05,-0.10671373553111194,4.804948401303577,56,1136077.0,20655.945454545454,4.979297663016877e-07,1.0000003385357559e-06,2.4105881156464594e-11,0.8303405276796705,1.0545252194080186,0.2241846917283481,1.2242515378855932e-06,-6.889188050866641e-07,-1.9131703429722574e-06,0.5094358998332638,3.823318820464266,56646.68751206496,124002.91913690792,135928.55587472738,7024.354610932282,1090282.7916377285,3330.1808744175937,0.003054419367121519,19572.53979262473,11553.804242291495,68240.42087517888,25864.342268628938,0.2582954726810232,-7.143886470055237e-06,11.947399693007648,8,2.3168430132682554,3.998959261488167,0.8571428571428572
6,118,0.0012366912028647357,0.02265300060202719,0.01830158342333047,0.04610172091431487,0.48805164175688337,0.33297920146191223,0.0761756326920536,0.09551667403470115,0.024496998320869587,0.005972761243223946,0.16891138569618952,0.1520747748795893,0.17945794408301116,0.04357259863227686,0.021593193968586485,0,77.68510028228629,8.835398360754327,0.3509259405567273,1.8534444091247135,2.6611993927631707,15.728330985513646,53.78134033808516,137.65985521448803,170.91018346075685,175.3202759049477,179.96102464521763,179.6100987046609,64.9266529742131,0.8357671257202154,51.55850742667176,121.93152422897438,0.2851133047058938,-1.5389366393218493,0,1.8151841970557077,0.3005108829437989,0.13536372386127554,0.29420513334325177,0.3895465072397501,0.7093446284976788,1.3621088944286683,1.9048822035632786,2.7194606794311422,4.232744756468327,14.079598237810593,13.944234513949318,2.228648355443583,1.227780827454607,0.6527587908413325,1.1955375750655999,3.918931043196197,16.993188945406526,0,1.2303400764564394e-07,2.0480834398607344e-05,-0.0006223705683052191,-0.00012581783653420312,-7.998662773205811e-05,-4.6584916854511746e-05,-2.047781215651092e-07,5.198113600391264e-05,9.071179634990315e-05,0.00013943109881777498,0.0006049450122614844,0.0012273155805667035,0.0001518899330814086,1234.5361740867124,5.173082472003948e-05,9.856605285842439e-05,-0.17115246621497537,8.37765981710758,56,1134576.0,20628.654545454545,4.979297663028959e-07,1.0000003385357559e-06,2.4137772301422977e-11,1.4969707813507045,2.071111961051287,0.5741411797005826,7.53656186632081e-07,-6.694572863505117e-07,-1.4231134729825927e-06,1.4195523645418575,11.349794302918653,157847.0210433429,368975.73176920804,398950.8268004303,58241.72009705702,2064668.8302587124,2546.9215376455613,0.0012335738789287676,39306.3882700688,25600.951447459844,288078.5794133314,64915.839654882104,0.7311928718025439,-1.6299723680008132e-05,19.526462091826307,6,1.5676898236494567,2.7521608441135155,0.8928571428571429
7,118,0.0043191272010141635,0.11450169538911859,0.07643415668741312,0.06970989015930808,0.22026156191088814,0.2417462177776994,0.03039422885168711,0.23041427928569788,0.1341094516752936,0.012094981134193293,0.21482464594553677,0.23288738816848564,0.007597625620743799,0.022762768473603277,0.09196073420815008,0,77.84537948234531,8.577006018330266,1.3627515634886365,4.432918910034139,7.6754343870153745,22.639276383347593,56.11275763563144,146.6936040530458,169.12660384307577,173.51759733698387,177.03859214598373,175.67584058249508,63.02786479706872,0.8096545384734481,48.52971694781468,124.0543276696982,0.32636980350388284,-1.5258375854949122,0,1.1217213561006865,0.12171082019204826,0.09554256193829272,0.17496063485439453,0.23539130411140669,0.47009215689088735,1.0124198053617528,1.5247250601145046,1.827396936470154,2.253529772150014,5.561314708911757,5.465772146973465,0.9026316005714407,0.8046843323988742,0.5162711063875893,1.0546329032236172,2.413994957135625,8.961107342478035,0,1.0321524749974512e-06,7.616242840287702e-06,-0.00018684070996815127,-7.048970377256688e-05,-6.317127017267145e-05,-2.7227238600942313e-05,2.62310332981764e-06,3.1327459890196e-05,5.640185992597358e-05,6.492403700446017e-05,0.00023177359317726228,0.00041861430314541354,5.648356862949483e-05,54.72405482497565,2.8850890789889975e-05,5.855469849113831e-05,0.5239489877826637,4.890589347753594,56,1132206.0,20585.563636363637,4.81045855773821e-07,1.0000003385357559e-06,2.336811681580927e-11,0.877137170618452,1.3268227504380614,0.44968557981960944,2.6237206787364695e-06,-6.848568918418901e-07,-3.3085775705783597e-06,0.8878316281383292,5.123376853993591,98722.37276356139,166277.74366338504,193360.8031943013,16415.333392220607,1271290.8072434035,5485.376414767328,0.004314808526509771,25330.457492422232,17268.24638820254,115636.80778590306,33464.93772997213,0.5666331787629192,-4.765381806865473e-06,2.490478781496769,8,2.3186058476336777,3.9781365882567736,0.8571428571428572
8,118,0.0028386894768278187,0.009286091267721333,0.011582115146217969,0.005797482503184959,0.0617522743691881,0.043860897958514056,0.007605927841668543,0.020730437738950395,0.07711509130427922,0.05372215770527373,0.47573347015658923,0.41530461300549915,0.09843774983079974,0.19412057590349205,0.17848790700827427,0,61.12397396152819,8.016822496542456,0.3123145418475216,2.977799307804864,4.524055014930751,10.106439664388684,34.86231609767529,105.60636802631274,163.19685240512493,168.08368530719608,172.50967688343013,172.19736234158262,58.911373424982536,0.9638014285861342,28.708329619970755,95.49992836192405,0.7701785272164792,-0.9358470559348553,0,1.206230766062269,0.10475810424222265,0.2075580761712406,0.3145656223907926,0.45325694595078336,0.6026266364033921,1.0236861127732473,1.4897828187133693,2.2619424104852204,2.5733381159489124,3.8404260160986246,3.632867939927384,0.7769068941921814,0.6440781615348677,0.4386353102837459,0.8871561823099772,1.4655004338791167,2.3223701797106173,0,3.824157785264239e-07,6.1471252911956616e-06,-0.00010507159134810018,-8.206109720447292e-05,-5.084378886635198e-05,-2.665363485243709e-05,3.0253321462908732e-06,3.1035846017072496e-05,6.59695844862243e-05,6.784471684181389e-05,7.911963046707255e-05,0.00018419122181517273,4.558830128455275e-05,119.21135017027734,2.9703612030959103e-05,5.7689480869509586e-05,-0.28667561351744536,-0.4282006205076052,56,1046466.0,19026.65454545455,4.979297663016877e-07,1.0000003385357559e-06,2.6170116512713095e-11,1.2945314865731832,1.0790802556714927,-0.2154512309016905,3.217392282748823e-07,-8.76712740700979e-08,-4.094105023449802e-07,1.201274967232166,4.823239325967208,133575.681861325,156721.35145695668,207420.50662836377,20934.16138309135,1271002.3440381973,3583.2194903401496,0.002819207617631635,26795.379431270336,20536.715876738286,118013.9717131277,36415.757574601936,-0.11729503422231834,-8.070895311397747e-06,-28.95842626372465,6,2.024109566694941,3.4894678364717797,0.8928571428571429
9,118,0.0017150084943196493,0.10449735626775578,0.08000703652613442,0.12029533337782046,0.09116946864929316,0.039866678782518546,0.3322752169847291,0.6053322429518141,0.4628152387212894,0.7222440492859146,0.27691857425539745,0.3913380971564168,0.3000285525962118,0.8209832129935511,0.8618763012706425,0,55.46540231637914,8.759120023780053,1.090965974204417,1.855532211351592,2.3299550436770984,3.902694292433469,11.490098209820228,89.06890955308816,165.14448006282933,175.71338375930003,179.14552842348732,178.0545624492829,64.36612396216796,1.1604733991654543,9.857561845566726,85.1662152606547,0.8476070525132303,-0.8879577096194544,0,1.2255583405325017,0.114187369183826,0.0399552196763328,0.2101142683490991,0.28513223512083535,0.7188051280832896,1.0732540196641198,1.5467052899308427,2.0933092485762006,2.530213668281733,4.814605403246513,4.77465018357018,0.8468361945865244,0.6909799122403071,0.44741528925977325,0.8279001618475531,1.6466285541811965,4.422751147407118,0,4.436996004268692e-07,2.0054339818574255e-05,-0.00031426670590590085,-0.00025007214808132525,-0.0001836471410198891,-7.774068581808231e-05,-3.885299559313218e-06,8.049844095412692e-05,0.00011507159975778743,0.0003035416500013445,0.00046444927113613023,0.0007787159770420311,0.0001487269646222127,335.19742744669423,8.343064168274385e-05,0.00015823912677220923,0.4708626591918376,1.0021876118444544,56,288010.0,5236.545454545455,4.979297662989694e-07,1.0000003385357559e-06,9.50874523330555e-11,1.004063399118211,1.403285005977255,0.39922160685904395,3.5426984704199e-06,-2.6714468714585754e-06,-6.214145341878475e-06,0.5932709946951178,2.3844563526654525,65968.7247354687,77709.7068793479,102102.47972938839,5126.41026239766,355839.3945393861,605.3517920843045,0.0017011938570430014,19884.71917848013,12912.52284316496,61329.12365825364,25238.78007132669,0.7332182669771594,-4.577424967647765e-05,-62.06877737195972,7,2.325662118720903,3.4108044333864083,0.875
10,118,0.005853753864036677,0.05306543133485109,0.08481733720249593,0.08426260369730959,0.10904238118359426,0.285688447808714,0.01879039313885232,0.09886610888083695,0.12066643564708436,0.019994195566269267,0.20998997212326412,0.28955807740857165,0.22465278174827705,0.1874210710026523,0.11563015189874407,0,74.25201710970151,9.21501475278307,1.3139950147571986,3.222299729066243,4.192291470836578,9.501869497547826,53.90673382248965,150.3319265433202,168.9696624766153,176.15901799003638,178.46205183543063,177.14805682067342,67.71625234961338,0.9119786234166265,49.145196467395,140.83005704577238,0.38094597039578554,-1.5510541265598097,0,1.4444682178598929,0.16186828521709823,0.06284155794711516,0.11571480609894334,0.13578636995031354,0.46974399066254113,1.0591126267410609,2.433176615141049,3.2908512491293735,3.6374028106202236,4.212828474880629,4.149986916933514,1.200447331935813,0.8310652440068095,0.8134260537649856,1.963432624478508,0.6877588204532664,-0.7491428860031224,0,2.705686881137335e-06,1.0049068843958032e-05,-0.00019654778811550782,-0.0001252884106884297,-9.346061891251857e-05,-3.5221959897607804e-05,4.360817878295748e-06,4.2727036246536994e-05,0.00010313846928075653,0.00013579976447333355,0.00016992040161861277,0.00036646818973412056,7.452588915728172e-05,27.544166206680494,4.092166286315148e-05,7.79489961441448e-05,-0.08792792891353854,0.2972676257300546,56,1129549.0,20537.254545454547,4.979297663016877e-07,1.0000003385357559e-06,2.4245196221317378e-11,1.5377240911876549,1.3012246776012584,-0.23649941358639648,1.8520197552988067e-06,3.4248566922244083e-06,1.5728369369256015e-06,1.9140990515413137,4.154025158497518,212838.1036265561,135158.15121260114,253385.8706206782,28766.804593761342,1635106.8003397586,9550.97093689806,0.005841190884236715,32120.666708998822,19271.60941138398,143711.4604167064,45596.81402028574,-0.559184369675161,1.962261377934303e-06,-20.828732429870737,7,2.181298350697785,3.5955431774393536,0.875
