trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
309,252,0.2791,0.1228,0.424,0.1844,0.1227,0.0852
310,252,0.0824,0.1146,0.0023,0.2207,0.1506,0.1412
311,252,0.1463,0.6094,0.2139,0.1625,0.6431,0.0968
312,252,0.0564,0.1972,0.0756,0.0998,0.2123,0.1135
313,252,0.0869,0.1094,0.1761,0.0431,0.1235,0.0859
314,252,0.6555,0.2887,0.4777,0.6561,0.3125,0.3472
315,252,0.0817,0.1146,0.1104,0.0869,0.113,0.1237
316,252,0.2146,0.1957,0.0975,0.455,0.2176,0.1274
317,252,0.9332,0.5067,0.9184,0.6818,0.5361,0.3574
318,252,0.3073,0.9122,0.1504,0.5042,0.8931,0.9068
319,252,0.0304,0.0833,0.0166,0.102,0.0633,0.1907
320,252,0.3912,0.1429,0.8428,0.0287,0.1446,0.1579
321,252,0.9272,0.9985,0.9758,0.2011,0.9985,0.9985
322,252,0.1975,0.1391,0.1436,0.2819,0.1506,0.1026
323,252,0.1366,0.3832,0.1066,0.3122,0.4789,0.1041
324,252,0.0883,0.2135,0.0249,0.3439,0.2229,0.131
325,252,0.1826,0.0193,0.0333,0.4709,0.0181,0.0473
326,252,0.5976,0.0982,0.0144,0.901,0.0919,0.1012
327,252,0.0393,0.0446,0.0265,0.1285,0.0399,0.075
328,252,0.6956,0.721,0.4596,0.746,0.6596,0.8639
329,252,0.2153,0.1213,0.0295,0.5457,0.1393,0.0495
330,252,0.4269,0.6696,0.1073,0.678,0.7372,0.0138
331,252,0.4833,0.0365,0.2094,0.678,0.0437,0.0429
332,252,0.0431,0.1637,0.0642,0.062,0.1627,0.1914
333,252,0.1232,0.3638,0.1965,0.0839,0.4639,0.1208
334,252,0.5605,0.1652,0.0446,0.8352,0.1739,0.1274
335,252,0.0757,0.2121,0.0076,0.319,0.2274,0.0888
336,252,0.1136,0.1429,0.0385,0.2298,0.1446,0.1761
337,252,0.098,0.1935,0.13,0.1731,0.2033,0.139
338,252,0.1463,0.1451,0.0665,0.2751,0.1574,0.107
339,252,0.0973,0.0871,0.1209,0.1308,0.0858,0.0539
340,252,0.1633,0.9301,0.1791,0.2638,0.9495,0.0837
341,252,0.9287,0.0833,0.0605,0.9932,0.0971,0.0932
342,252,0.1633,0.1057,0.0839,0.2955,0.1039,0.0932
343,252,0.0958,0.0439,0.2834,0.0083,0.0361,0.0437
344,252,0.0327,0.0134,0.0756,0.0317,0.006,0.0277
345,252,0.1062,0.1272,0.26,0.0091,0.1401,0.0961
346,252,0.0557,0.1964,0.0204,0.1497,0.2033,0.1405
